Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,32.89,0.0,0.0,0.0
2000-01-11,0.0,100.0,77.71,1.96,0.0,0.0
2000-01-18,0.0,100.0,77.71,1.96,0.0,0.0
2000-01-25,0.0,100.0,53.21,0.0,0.0,0.0
2000-02-01,0.0,100.0,40.79,1.05,0.0,0.0
2000-02-08,0.0,100.0,56.32,31.27,0.0,0.0
2000-02-15,0.0,100.0,56.32,31.27,0.0,0.0
2000-02-22,0.08,99.92,48.7,15.94,0.0,0.0
2000-02-29,27.31,72.69,45.8,0.0,0.0,0.0
2000-03-07,27.31,72.69,44.73,6.87,0.0,0.0
2000-03-14,27.41,72.59,44.74,6.87,0.0,0.0
2000-03-21,27.4,72.6,22.94,1.15,0.0,0.0
2000-03-28,27.41,72.59,5.82,0.0,0.0,0.0
2000-04-04,0.0,100.0,31.3,0.0,0.0,0.0
2000-04-11,23.11,76.89,33.0,0.0,0.0,0.0
2000-04-18,3.81,96.19,32.28,0.0,0.0,0.0
2000-04-25,3.51,96.49,38.13,0.21,0.0,0.0
2000-05-02,3.51,96.49,46.67,1.94,0.0,0.0
2000-05-09,1.79,98.21,29.02,1.38,0.0,0.0
2000-05-16,1.6,98.4,33.67,1.38,0.0,0.0
2000-05-23,0.0,100.0,33.51,1.38,0.0,0.0
2000-05-30,91.01,8.99,1.35,0.0,0.0,0.0
2000-06-06,92.02,7.98,2.19,0.0,0.0,0.0
2000-06-13,85.53,14.47,3.08,0.0,0.0,0.0
2000-06-20,85.5,14.5,2.13,0.0,0.0,0.0
2000-06-27,77.21,22.79,0.0,0.0,0.0,0.0
2000-07-04,99.79,0.21,0.0,0.0,0.0,0.0
2000-07-11,58.98,41.02,0.14,0.0,0.0,0.0
2000-07-18,0.13,99.87,45.04,0.0,0.0,0.0
2000-07-25,0.0,100.0,78.84,0.0,0.0,0.0
2000-08-01,0.0,100.0,69.7,0.0,0.0,0.0
2000-08-08,8.1,91.9,68.68,0.0,0.0,0.0
2000-08-15,7.79,92.21,81.24,7.41,0.0,0.0
2000-08-22,7.76,92.24,79.95,22.95,0.0,0.0
2000-08-29,9.18,90.82,79.92,31.26,17.12,0.0
2000-09-05,3.5,96.5,79.89,57.74,26.07,0.0
2000-09-12,0.0,100.0,93.48,81.81,30.88,0.0
2000-09-19,0.0,100.0,97.95,90.32,42.29,0.0
2000-09-26,0.42,99.58,92.71,80.95,49.11,0.0
2000-10-03,0.42,99.58,92.71,80.95,49.11,0.0
2000-10-10,0.34,99.66,92.7,80.95,27.78,0.0
2000-10-17,0.0,100.0,95.25,66.21,32.14,0.0
2000-10-24,0.0,100.0,93.98,83.31,62.99,18.47
2000-10-31,0.0,100.0,91.49,84.1,68.64,22.55
2000-11-07,0.0,100.0,86.87,80.16,54.58,0.0
2000-11-14,1.23,98.77,88.36,76.69,56.28,0.0
2000-11-21,0.17,99.83,82.49,72.28,48.54,0.0
2000-11-28,5.18,94.82,63.91,41.62,0.0,0.0
2000-12-05,5.18,94.82,63.91,41.62,0.0,0.0
2000-12-12,4.96,95.04,71.02,41.62,0.0,0.0
2000-12-19,6.55,93.45,67.1,33.75,0.0,0.0
2000-12-26,5.01,94.99,68.58,33.64,0.0,0.0
2001-01-02,5.01,94.99,68.58,33.64,0.0,0.0
2001-01-09,1.29,98.71,70.05,36.17,0.0,0.0
2001-01-16,1.29,98.71,70.05,36.17,0.0,0.0
2001-01-23,11.34,88.66,72.9,49.51,0.0,0.0
2001-01-30,13.8,86.2,58.58,23.82,0.0,0.0
2001-02-06,13.8,86.2,56.03,23.82,0.0,0.0
2001-02-13,15.31,84.69,52.47,24.31,0.0,0.0
2001-02-20,48.56,51.44,24.37,0.0,0.0,0.0
2001-02-27,51.57,48.43,15.25,0.0,0.0,0.0
2001-03-06,51.57,48.43,0.0,0.0,0.0,0.0
2001-03-13,65.2,34.8,0.0,0.0,0.0,0.0
2001-03-20,55.84,44.16,0.0,0.0,0.0,0.0
2001-03-27,52.6,47.4,0.0,0.0,0.0,0.0
2001-04-03,44.75,55.25,0.0,0.0,0.0,0.0
2001-04-10,36.58,63.42,0.0,0.0,0.0,0.0
2001-04-17,40.69,59.31,0.0,0.0,0.0,0.0
2001-04-24,39.08,60.92,32.28,0.0,0.0,0.0
2001-05-01,23.41,76.59,37.4,0.0,0.0,0.0
2001-05-08,0.93,99.07,75.4,43.09,0.0,0.0
2001-05-15,0.93,99.07,75.4,43.09,0.0,0.0
2001-05-22,13.93,86.07,50.99,36.94,0.0,0.0
2001-05-29,13.93,86.07,50.99,36.5,0.0,0.0
2001-06-05,27.94,72.06,47.13,33.54,0.0,0.0
