Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,58.95,12.21,0.0,0.0
2000-01-11,0.0,100.0,62.31,12.21,0.0,0.0
2000-01-18,0.0,100.0,62.31,35.85,0.0,0.0
2000-01-25,0.0,100.0,69.26,35.85,0.0,0.0
2000-02-01,0.0,100.0,75.05,47.55,0.0,0.0
2000-02-08,0.0,100.0,78.52,47.51,0.0,0.0
2000-02-15,0.0,100.0,78.52,47.51,0.0,0.0
2000-02-22,0.0,100.0,78.51,48.24,0.0,0.0
2000-02-29,0.0,100.0,94.24,49.58,0.0,0.0
2000-03-07,0.0,100.0,100.0,61.58,0.0,0.0
2000-03-14,0.0,100.0,100.0,100.0,0.0,0.0
2000-03-21,0.0,100.0,100.0,100.0,0.0,0.0
2000-03-28,0.0,100.0,100.0,99.5,0.0,0.0
2000-04-04,0.0,100.0,100.0,97.32,0.0,0.0
2000-04-11,0.0,100.0,100.0,97.29,0.0,0.0
2000-04-18,0.0,100.0,100.0,93.27,0.0,0.0
2000-04-25,0.0,100.0,90.46,80.54,34.2,0.0
2000-05-02,0.0,100.0,91.88,83.55,51.59,0.0
2000-05-09,0.0,100.0,81.02,68.97,51.59,0.0
2000-05-16,0.0,100.0,81.02,68.97,54.66,0.0
2000-05-23,11.02,88.98,81.02,68.97,54.66,0.0
2000-05-30,10.18,89.82,81.99,75.53,56.06,31.35
2000-06-06,9.7,90.3,82.61,75.53,55.51,33.98
2000-06-13,12.47,87.53,82.61,75.54,55.14,37.13
2000-06-20,11.83,88.17,82.61,75.54,55.14,37.13
2000-06-27,11.83,88.17,82.82,75.54,53.43,37.13
2000-07-04,9.96,90.04,82.45,68.77,41.61,0.0
2000-07-11,9.96,90.04,82.44,68.77,41.61,0.0
2000-07-18,0.0,100.0,91.9,77.6,45.09,7.56
2000-07-25,0.0,100.0,92.54,70.76,46.69,28.48
2000-08-01,0.0,100.0,92.54,72.11,46.69,28.48
2000-08-08,0.0,100.0,92.54,72.11,47.75,28.48
2000-08-15,0.0,100.0,92.53,72.85,59.51,23.38
2000-08-22,0.0,100.0,95.51,84.11,72.38,39.38
2000-08-29,0.0,100.0,99.45,88.47,72.62,39.38
2000-09-05,0.0,100.0,100.0,100.0,91.65,57.7
2000-09-12,0.0,100.0,100.0,100.0,98.96,21.48
2000-09-19,0.0,100.0,100.0,100.0,67.99,0.0
2000-09-26,0.0,100.0,100.0,85.69,62.84,0.0
2000-10-03,0.0,100.0,100.0,85.69,62.84,0.0
2000-10-10,0.0,100.0,100.0,79.65,0.0,0.0
2000-10-17,0.0,100.0,100.0,100.0,54.29,0.0
2000-10-24,0.0,100.0,100.0,100.0,80.35,1.81
2000-10-31,0.0,100.0,100.0,100.0,86.96,19.54
2000-11-07,0.0,100.0,100.0,95.19,74.35,12.77
2000-11-14,0.0,100.0,99.6,88.33,69.09,7.11
2000-11-21,1.47,98.53,78.32,62.92,0.02,0.0
2000-11-28,29.85,70.15,48.24,22.64,0.0,0.0
2000-12-05,29.85,70.15,48.24,21.0,0.0,0.0
2000-12-12,39.05,60.95,46.65,21.0,0.0,0.0
2000-12-19,44.66,55.34,35.36,11.41,0.0,0.0
2000-12-26,46.4,53.6,33.89,12.77,0.0,0.0
2001-01-02,46.4,53.6,17.5,0.0,0.0,0.0
2001-01-09,46.4,53.6,17.5,0.0,0.0,0.0
2001-01-16,46.4,53.6,17.5,0.0,0.0,0.0
2001-01-23,77.68,22.32,0.0,0.0,0.0,0.0
2001-01-30,82.47,17.53,0.0,0.0,0.0,0.0
2001-02-06,82.47,17.53,0.0,0.0,0.0,0.0
2001-02-13,59.58,40.42,0.0,0.0,0.0,0.0
2001-02-20,59.58,40.42,0.0,0.0,0.0,0.0
2001-02-27,42.65,57.35,0.0,0.0,0.0,0.0
2001-03-06,80.32,19.68,0.0,0.0,0.0,0.0
2001-03-13,77.69,22.31,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,35.19,64.81,0.0,0.0,0.0,0.0
2001-04-24,37.53,62.47,0.0,0.0,0.0,0.0
2001-05-01,40.03,59.97,0.0,0.0,0.0,0.0
2001-05-08,33.99,66.01,41.19,0.0,0.0,0.0
2001-05-15,33.99,66.01,43.23,0.0,0.0,0.0
2001-05-22,1.24,98.76,60.92,11.98,0.0,0.0
2001-05-29,1.24,98.76,60.91,11.98,0.0,0.0
2001-06-05,6.17,93.83,60.91,11.98,0.0,0.0
2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-19,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-31,100.0,0.0,0.0,0.0,0.0,0.0
2001-08-07,100.0,0.0,0.0,0.0,0.0,0.0
2001-08-14,100.0,0.0,0.0,0.0,0.0,0.0
2001-08-21,100.0,0.0,0.0,0.0,0.0,0.0
2001-08-28,100.0,0.0,0.0,0.0,0.0,0.0
2001-09-04,100.0,0.0,0.0,0.0,0.0,0.0
2001-09-11,100.0,0.0,0.0,0.0,0.0,0.0
2001-09-18,100.0,0.0,0.0,0.0,0.0,0.0
2001-09-25,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-06,100.0,0.0,0.0,0.0,0.0,0.0
