Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,82.36,7.39,0.0,0.0
2000-01-11,0.0,100.0,84.31,7.38,0.0,0.0
2000-01-18,0.0,100.0,84.31,7.38,0.0,0.0
2000-01-25,0.0,100.0,87.91,7.38,0.0,0.0
2000-02-01,0.0,100.0,90.65,6.56,0.0,0.0
2000-02-08,0.0,100.0,90.65,6.56,0.0,0.0
2000-02-15,0.0,100.0,90.65,6.56,0.0,0.0
2000-02-22,0.0,100.0,90.66,6.56,0.0,0.0
2000-02-29,0.0,100.0,86.72,37.84,0.0,0.0
2000-03-07,0.0,100.0,88.49,37.83,0.0,0.0
2000-03-14,0.0,100.0,87.68,43.36,0.0,0.0
2000-03-21,0.0,100.0,87.68,43.36,0.0,0.0
2000-03-28,0.0,100.0,87.68,43.36,0.0,0.0
2000-04-04,0.0,100.0,100.0,75.11,0.0,0.0
2000-04-11,0.0,100.0,99.71,69.68,0.0,0.0
2000-04-18,0.0,100.0,100.0,70.3,0.0,0.0
2000-04-25,0.0,100.0,77.81,43.92,0.0,0.0
2000-05-02,0.0,100.0,77.56,44.43,0.0,0.0
2000-05-09,0.0,100.0,77.56,39.99,0.0,0.0
2000-05-16,0.0,100.0,86.14,56.34,0.0,0.0
2000-05-23,22.37,77.63,62.68,34.03,0.0,0.0
2000-05-30,36.72,63.28,46.56,26.8,0.0,0.0
2000-06-06,53.74,46.26,32.58,19.96,0.0,0.0
2000-06-13,53.53,46.47,33.39,20.83,0.0,0.0
2000-06-20,58.11,41.89,29.54,18.14,0.01,0.0
2000-06-27,63.66,36.34,19.22,4.36,0.0,0.0
2000-07-04,81.03,18.97,8.23,2.35,0.0,0.0
2000-07-11,86.01,13.99,7.8,0.0,0.0,0.0
2000-07-18,90.79,9.21,3.73,0.0,0.0,0.0
2000-07-25,88.76,11.24,3.73,0.0,0.0,0.0
2000-08-01,92.1,7.9,1.45,0.0,0.0,0.0
2000-08-08,94.47,5.53,0.93,0.0,0.0,0.0
2000-08-15,94.45,5.55,0.31,0.0,0.0,0.0
2000-08-22,95.14,4.86,0.95,0.0,0.0,0.0
2000-08-29,95.21,4.79,0.7,0.0,0.0,0.0
2000-09-05,72.69,27.31,0.7,0.0,0.0,0.0
2000-09-12,72.44,27.56,0.77,0.0,0.0,0.0
2000-09-19,50.52,49.48,16.13,1.06,0.0,0.0
2000-09-26,74.36,25.64,7.36,1.7,0.0,0.0
2000-10-03,74.28,25.72,7.36,1.7,0.0,0.0
2000-10-10,74.29,25.71,7.36,1.7,0.0,0.0
2000-10-17,64.97,35.03,20.27,7.95,0.0,0.0
2000-10-24,56.7,43.3,23.19,8.58,1.68,0.0
2000-10-31,37.35,62.65,18.01,3.97,0.67,0.0
2000-11-07,52.26,47.74,12.82,1.09,0.0,0.0
2000-11-14,75.49,24.51,8.97,0.18,0.0,0.0
2000-11-21,77.34,22.66,7.47,0.13,0.0,0.0
2000-11-28,67.57,32.43,7.47,0.13,0.0,0.0
2000-12-05,67.51,32.49,9.45,0.33,0.0,0.0
2000-12-12,68.21,31.79,9.45,0.39,0.0,0.0
2000-12-19,68.21,31.79,8.3,0.15,0.0,0.0
2000-12-26,74.4,25.6,5.13,0.03,0.0,0.0
2001-01-02,74.4,25.6,6.0,0.03,0.0,0.0
2001-01-09,73.41,26.59,6.0,0.03,0.0,0.0
2001-01-16,73.41,26.59,6.0,0.99,0.0,0.0
2001-01-23,54.15,45.85,6.97,2.01,0.0,0.0
2001-01-30,89.1,10.9,2.02,0.0,0.0,0.0
2001-02-06,89.1,10.9,2.02,0.0,0.0,0.0
2001-02-13,96.51,3.49,1.02,0.0,0.0,0.0
2001-02-20,96.51,3.49,1.02,0.0,0.0,0.0
2001-02-27,98.03,1.97,0.45,0.0,0.0,0.0
2001-03-06,97.65,2.35,0.45,0.0,0.0,0.0
2001-03-13,97.65,2.35,0.0,0.0,0.0,0.0
2001-03-20,97.65,2.35,0.0,0.0,0.0,0.0
2001-03-27,97.65,2.35,0.0,0.0,0.0,0.0
2001-04-03,97.65,2.35,0.0,0.0,0.0,0.0
2001-04-10,98.74,1.26,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,99.76,0.24,0.0,0.0,0.0,0.0
2001-05-08,97.19,2.81,0.0,0.0,0.0,0.0
2001-05-15,81.57,18.43,2.12,0.0,0.0,0.0
2001-05-22,97.98,2.02,0.0,0.0,0.0,0.0
2001-05-29,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-05,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-19,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-17,27.12,72.88,0.0,0.0,0.0,0.0
2001-07-24,37.56,62.44,0.0,0.0,0.0,0.0
2001-07-31,24.04,75.96,0.0,0.0,0.0,0.0
2001-08-07,57.15,42.85,0.0,0.0,0.0,0.0
2001-08-14,38.42,61.58,12.17,0.0,0.0,0.0
2001-08-21,72.89,27.11,9.71,0.0,0.0,0.0
2001-08-28,82.72,17.28,0.0,0.0,0.0,0.0
2001-09-04,24.79,75.21,0.0,0.0,0.0,0.0
2001-09-11,72.08,27.92,0.0,0.0,0.0,0.0
2001-09-18,72.08,27.92,0.0,0.0,0.0,0.0
2001-09-25,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-30,96.94,3.06,0.0,0.0,0.0,0.0
2001-11-06,90.49,9.51,0.0,0.0,0.0,0.0
2001-11-13,84.41,15.59,0.0,0.0,0.0,0.0
2001-11-20,84.41,15.59,0.0,0.0,0.0,0.0
2001-11-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-04,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-11,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-18,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-25,99.14,0.86,0.0,0.0,0.0,0.0
2002-01-01,99.19,0.81,0.0,0.0,0.0,0.0
2002-01-08,82.87,17.13,0.0,0.0,0.0,0.0
2002-01-15,80.18,19.82,0.0,0.0,0.0,0.0
2002-01-22,79.94,20.06,0.0,0.0,0.0,0.0
2002-01-29,71.95,28.05,0.0,0.0,0.0,0.0
2002-02-05,83.01,16.99,0.0,0.0,0.0,0.0
2002-02-12,84.36,15.64,0.0,0.0,0.0,0.0
2002-02-19,84.67,15.33,0.0,0.0,0.0,0.0
2002-02-26,83.43,16.57,0.0,0.0,0.0,0.0
2002-03-05,83.8,16.2,0.0,0.0,0.0,0.0
2002-03-12,82.47,17.53,0.0,0.0,0.0,0.0
2002-03-19,80.06,19.94,0.0,0.0,0.0,0.0
2002-03-26,80.26,19.74,0.0,0.0,0.0,0.0
2002-04-02,66.28,33.72,0.0,0.0,0.0,0.0
2002-04-09,66.29,33.71,15.41,0.0,0.0,0.0
2002-04-16,75.01,24.99,10.02,0.0,0.0,0.0
2002-04-23,75.78,24.22,9.93,0.0,0.0,0.0
2002-04-30,83.42,16.58,0.37,0.0,0.0,0.0
2002-05-07,89.88,10.12,0.03,0.0,0.0,0.0
2002-05-14,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-21,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-28,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-04,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-11,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-18,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-25,100.0,0.0,0.0,0.0,0.0,0.0
2002-07-02,73.76,26.24,0.0,0.0,0.0,0.0
2002-07-09,76.39,23.61,6.36,0.0,0.0,0.0
2002-07-16,58.61,41.39,0.0,0.0,0.0,0.0
2002-07-23,45.54,54.46,2.6,0.0,0.0,0.0
2002-07-30,62.11,37.89,1.05,0.0,0.0,0.0
2002-08-06,76.0,24.0,5.11,0.0,0.0,0.0
2002-08-13,66.02,33.98,2.24,0.0,0.0,0.0
2002-08-20,97.47,2.53,0.0,0.0,0.0,0.0
2002-08-27,100.0,0.0,0.0,0.0,0.0,0.0
2002-09-03,100.0,0.0,0.0,0.0,0.0,0.0
2002-09-10,99.66,0.34,0.0,0.0,0.0,0.0
2002-09-17,99.86,0.14,0.0,0.0,0.0,0.0
2002-09-24,99.77,0.23,0.0,0.0,0.0,0.0
2002-10-01,89.17,10.83,0.11,0.0,0.0,0.0
2002-10-08,99.71,0.29,0.0,0.0,0.0,0.0
2002-10-15,98.92,1.08,0.0,0.0,0.0,0.0
2002-10-22,95.96,4.04,0.0,0.0,0.0,0.0
2002-10-29,96.15,3.85,0.0,0.0,0.0,0.0
2002-11-05,92.1,7.9,0.31,0.0,0.0,0.0
2002-11-12,92.14,7.86,0.0,0.0,0.0,0.0
2002-11-19,68.02,31.98,0.0,0.0,0.0,0.0
2002-11-26,56.75,43.25,0.0,0.0,0.0,0.0
