Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,18.14,0.0,0.0,0.0
2000-01-11,0.0,100.0,33.95,0.0,0.0,0.0
2000-01-18,0.0,100.0,42.03,0.0,0.0,0.0
2000-01-25,0.0,100.0,46.22,0.0,0.0,0.0
2000-02-01,0.0,100.0,57.86,0.0,0.0,0.0
2000-02-08,0.0,100.0,57.86,0.0,0.0,0.0
2000-02-15,0.0,100.0,57.86,0.0,0.0,0.0
2000-02-22,1.16,98.84,40.28,0.0,0.0,0.0
2000-02-29,14.72,85.28,60.26,8.87,0.0,0.0
2000-03-07,14.72,85.28,58.1,8.87,0.0,0.0
2000-03-14,14.72,85.28,58.11,11.86,0.0,0.0
2000-03-21,16.26,83.74,58.04,11.86,0.0,0.0
2000-03-28,13.18,86.82,58.04,11.86,0.0,0.0
2000-04-04,0.0,100.0,53.39,12.62,0.0,0.0
2000-04-11,2.11,97.89,88.39,25.24,0.0,0.0
2000-04-18,0.47,99.53,91.05,27.61,0.0,0.0
2000-04-25,0.75,99.25,97.01,76.9,0.0,0.0
2000-05-02,0.75,99.25,97.01,78.07,0.0,0.0
2000-05-09,0.0,100.0,76.89,47.29,0.0,0.0
2000-05-16,0.0,100.0,91.27,51.62,0.0,0.0
2000-05-23,0.19,99.81,97.39,51.78,0.0,0.0
2000-05-30,0.65,99.35,62.14,26.92,0.0,0.0
2000-06-06,1.83,98.17,57.54,29.17,0.0,0.0
2000-06-13,0.0,100.0,86.72,30.69,3.75,0.0
2000-06-20,8.97,91.03,63.31,26.98,0.0,0.0
2000-06-27,31.37,68.63,11.82,5.25,0.0,0.0
2000-07-04,86.71,13.29,6.06,0.0,0.0,0.0
2000-07-11,87.37,12.63,6.06,0.0,0.0,0.0
2000-07-18,81.47,18.53,0.0,0.0,0.0,0.0
2000-07-25,82.89,17.11,0.0,0.0,0.0,0.0
2000-08-01,94.93,5.07,0.0,0.0,0.0,0.0
2000-08-08,99.49,0.51,0.0,0.0,0.0,0.0
2000-08-15,99.39,0.61,0.0,0.0,0.0,0.0
2000-08-22,98.95,1.05,0.0,0.0,0.0,0.0
2000-08-29,98.78,1.22,0.0,0.0,0.0,0.0
2000-09-05,94.32,5.68,0.0,0.0,0.0,0.0
2000-09-12,87.17,12.83,0.28,0.0,0.0,0.0
2000-09-19,59.26,40.74,15.6,4.98,0.0,0.0
2000-09-26,77.5,22.5,3.12,0.21,0.0,0.0
2000-10-03,77.5,22.5,3.12,0.21,0.0,0.0
2000-10-10,85.65,14.35,3.12,0.21,0.0,0.0
2000-10-17,85.04,14.96,0.15,0.0,0.0,0.0
2000-10-24,92.38,7.62,0.0,0.0,0.0,0.0
2000-10-31,92.15,7.85,0.0,0.0,0.0,0.0
2000-11-07,92.62,7.38,0.0,0.0,0.0,0.0
2000-11-14,98.62,1.38,0.0,0.0,0.0,0.0
2000-11-21,97.45,2.55,0.0,0.0,0.0,0.0
2000-11-28,99.52,0.48,0.0,0.0,0.0,0.0
2000-12-05,99.89,0.11,0.0,0.0,0.0,0.0
2000-12-12,99.84,0.16,0.0,0.0,0.0,0.0
2000-12-19,99.91,0.09,0.0,0.0,0.0,0.0
2000-12-26,98.93,1.07,0.0,0.0,0.0,0.0
2001-01-02,98.93,1.07,0.0,0.0,0.0,0.0
2001-01-09,82.39,17.61,0.0,0.0,0.0,0.0
2001-01-16,82.39,17.61,0.0,0.0,0.0,0.0
2001-01-23,8.27,91.73,4.81,0.0,0.0,0.0
2001-01-30,71.64,28.36,0.0,0.0,0.0,0.0
2001-02-06,71.64,28.36,0.0,0.0,0.0,0.0
2001-02-13,96.05,3.95,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,96.1,3.9,0.0,0.0,0.0,0.0
2001-03-27,62.46,37.54,0.0,0.0,0.0,0.0
2001-04-03,89.4,10.6,0.0,0.0,0.0,0.0
2001-04-10,97.78,2.22,0.0,0.0,0.0,0.0
2001-04-17,94.34,5.66,0.0,0.0,0.0,0.0
2001-04-24,70.73,29.27,2.91,0.0,0.0,0.0
2001-05-01,31.32,68.68,28.48,0.0,0.0,0.0
2001-05-08,28.82,71.18,43.45,32.8,0.0,0.0
2001-05-15,9.08,90.92,58.3,33.84,0.0,0.0
2001-05-22,39.96,60.04,38.12,9.0,0.0,0.0
2001-05-29,43.32,56.68,38.12,5.13,0.0,0.0
2001-06-05,66.51,33.49,15.12,5.13,0.0,0.0
2001-06-12,74.03,25.97,15.12,6.23,0.0,0.0
2001-06-19,63.44,36.56,21.1,2.94,0.0,0.0
2001-06-26,63.44,36.56,21.1,2.94,0.0,0.0
2001-07-03,58.19,41.81,21.1,2.94,0.0,0.0
2001-07-10,75.02,24.98,9.5,0.76,0.0,0.0
2001-07-17,75.02,24.98,9.5,0.76,0.0,0.0
2001-07-24,87.61,12.39,4.13,0.0,0.0,0.0
2001-07-31,76.69,23.31,0.0,0.0,0.0,0.0
2001-08-07,90.94,9.06,0.0,0.0,0.0,0.0
2001-08-14,88.29,11.71,0.01,0.0,0.0,0.0
2001-08-21,65.74,34.26,4.59,0.0,0.0,0.0
2001-08-28,91.72,8.28,0.0,0.0,0.0,0.0
2001-09-04,84.97,15.03,0.0,0.0,0.0,0.0
2001-09-11,99.12,0.88,0.0,0.0,0.0,0.0
2001-09-18,99.12,0.88,0.0,0.0,0.0,0.0
2001-09-25,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-02,90.71,9.29,0.0,0.0,0.0,0.0
2001-10-09,90.98,9.02,0.0,0.0,0.0,0.0
2001-10-16,99.92,0.08,0.0,0.0,0.0,0.0
2001-10-23,99.92,0.08,0.0,0.0,0.0,0.0
2001-10-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-20,98.52,1.48,0.0,0.0,0.0,0.0
2001-11-27,99.46,0.54,0.0,0.0,0.0,0.0
2001-12-04,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-11,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-18,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-25,93.74,6.26,0.0,0.0,0.0,0.0
2002-01-01,93.8,6.2,0.0,0.0,0.0,0.0
2002-01-08,93.55,6.45,0.0,0.0,0.0,0.0
2002-01-15,93.97,6.03,0.0,0.0,0.0,0.0
2002-01-22,93.78,6.22,0.0,0.0,0.0,0.0
2002-01-29,94.04,5.96,0.0,0.0,0.0,0.0
2002-02-05,100.0,0.0,0.0,0.0,0.0,0.0
2002-02-12,100.0,0.0,0.0,0.0,0.0,0.0
2002-02-19,100.0,0.0,0.0,0.0,0.0,0.0
2002-02-26,100.0,0.0,0.0,0.0,0.0,0.0
