Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,60.98,39.02,0.0,0.0,0.0,0.0
2000-10-10,71.71,28.29,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,94.75,5.25,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,26.13,73.87,0.0,0.0,0.0,0.0
2001-05-15,19.09,80.91,0.0,0.0,0.0,0.0
2001-05-22,18.71,81.29,24.46,0.0,0.0,0.0
2001-05-29,0.0,100.0,15.39,0.0,0.0,0.0
2001-06-05,55.39,44.61,0.0,0.0,0.0,0.0
2001-06-12,59.19,40.81,0.0,0.0,0.0,0.0
2001-06-19,59.19,40.81,5.69,0.0,0.0,0.0
2001-06-26,59.19,40.81,5.69,0.0,0.0,0.0
2001-07-03,39.69,60.31,5.69,0.0,0.0,0.0
2001-07-10,39.69,60.31,5.69,0.0,0.0,0.0
2001-07-17,58.05,41.95,4.14,0.0,0.0,0.0
2001-07-24,65.96,34.04,4.14,0.0,0.0,0.0
2001-07-31,50.24,49.76,4.14,0.0,0.0,0.0
2001-08-07,25.95,74.05,17.03,0.0,0.0,0.0
2001-08-14,17.97,82.03,36.96,0.0,0.0,0.0
2001-08-21,10.96,89.04,51.32,0.0,0.0,0.0
2001-08-28,14.46,85.54,65.29,27.82,0.0,0.0
2001-09-04,12.67,87.33,57.46,24.86,0.0,0.0
2001-09-11,4.11,95.89,67.98,28.78,0.0,0.0
2001-09-18,4.75,95.25,67.13,28.78,0.0,0.0
2001-09-25,9.24,90.76,63.76,27.17,0.0,0.0
2001-10-02,24.8,75.2,42.74,6.36,0.0,0.0
2001-10-09,20.24,79.76,54.71,6.36,0.0,0.0
2001-10-16,20.91,79.09,54.49,6.42,0.0,0.0
2001-10-23,0.0,100.0,66.63,7.51,0.0,0.0
2001-10-30,0.0,100.0,75.92,28.73,0.0,0.0
2001-11-06,0.0,100.0,88.49,40.36,0.0,0.0
2001-11-13,0.0,100.0,88.49,40.36,0.0,0.0
2001-11-20,0.0,100.0,100.0,54.46,0.0,0.0
2001-11-27,0.0,100.0,100.0,54.46,0.0,0.0
2001-12-04,0.0,100.0,100.0,54.46,0.0,0.0
2001-12-11,0.0,100.0,100.0,54.46,0.0,0.0
2001-12-18,0.0,100.0,100.0,70.92,32.26,0.0
2001-12-25,0.0,100.0,100.0,66.47,32.26,0.0
2002-01-01,0.0,100.0,100.0,67.29,31.78,0.0
2002-01-08,0.0,100.0,100.0,82.96,33.49,0.0
2002-01-15,0.0,100.0,100.0,80.42,19.88,0.0
2002-01-22,0.0,100.0,98.61,80.21,18.96,0.0
2002-01-29,0.0,100.0,97.48,79.42,19.85,0.0
