Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,80.44,19.56,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,26.57,73.43,0.0,0.0,0.0,0.0
2001-05-15,26.57,73.43,9.16,0.0,0.0,0.0
2001-05-22,17.84,82.16,56.31,0.0,0.0,0.0
2001-05-29,0.0,100.0,15.65,0.0,0.0,0.0
2001-06-05,95.08,4.92,0.0,0.0,0.0,0.0
2001-06-12,99.92,0.08,0.0,0.0,0.0,0.0
2001-06-19,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-03,89.99,10.01,0.0,0.0,0.0,0.0
2001-07-10,89.99,10.01,0.0,0.0,0.0,0.0
2001-07-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-31,64.56,35.44,0.0,0.0,0.0,0.0
2001-08-07,44.48,55.52,15.85,0.0,0.0,0.0
2001-08-14,40.48,59.52,15.61,0.0,0.0,0.0
2001-08-21,38.46,61.54,11.24,0.0,0.0,0.0
2001-08-28,16.88,83.12,15.94,0.0,0.0,0.0
2001-09-04,24.44,75.56,10.56,0.0,0.0,0.0
2001-09-11,21.68,78.32,26.63,0.32,0.0,0.0
2001-09-18,20.11,79.89,16.51,0.32,0.0,0.0
2001-09-25,70.13,29.87,11.03,0.12,0.0,0.0
2001-10-02,77.82,22.18,9.19,0.0,0.0,0.0
2001-10-09,50.6,49.4,12.6,0.0,0.0,0.0
2001-10-16,51.13,48.87,11.11,0.0,0.0,0.0
2001-10-23,7.56,92.44,15.27,0.0,0.0,0.0
2001-10-30,9.19,90.81,33.21,0.0,0.0,0.0
2001-11-06,5.94,94.06,58.15,0.0,0.0,0.0
2001-11-13,5.94,94.06,58.15,0.0,0.0,0.0
2001-11-20,5.94,94.06,64.81,0.0,0.0,0.0
2001-11-27,6.22,93.78,64.98,0.0,0.0,0.0
2001-12-04,6.22,93.78,48.97,0.0,0.0,0.0
2001-12-11,6.22,93.78,48.98,0.0,0.0,0.0
2001-12-18,6.22,93.78,48.98,16.25,0.0,0.0
2001-12-25,6.22,93.78,48.98,12.48,0.0,0.0
2002-01-01,5.72,94.28,48.36,12.91,0.0,0.0
2002-01-08,11.56,88.44,48.24,12.88,0.0,0.0
2002-01-15,11.4,88.6,55.09,13.53,0.0,0.0
2002-01-22,13.16,86.84,50.91,11.51,0.0,0.0
2002-01-29,4.01,95.99,62.06,25.56,0.0,0.0
