Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,77.33,22.67,0.0,0.0,0.0,0.0
2000-01-11,74.77,25.23,0.0,0.0,0.0,0.0
2000-01-18,74.09,25.91,0.0,0.0,0.0,0.0
2000-01-25,86.82,13.18,0.0,0.0,0.0,0.0
2000-02-01,90.7,9.3,0.0,0.0,0.0,0.0
2000-02-08,90.7,9.3,0.0,0.0,0.0,0.0
2000-02-15,90.69,9.31,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,73.02,26.98,0.0,0.0,0.0,0.0
2000-03-07,68.06,31.94,0.0,0.0,0.0,0.0
2000-03-14,54.38,45.62,0.0,0.0,0.0,0.0
2000-03-21,64.71,35.29,0.0,0.0,0.0,0.0
2000-03-28,77.8,22.2,0.0,0.0,0.0,0.0
2000-04-04,65.06,34.94,0.0,0.0,0.0,0.0
2000-04-11,76.99,23.01,0.0,0.0,0.0,0.0
2000-04-18,86.05,13.95,0.0,0.0,0.0,0.0
2000-04-25,85.48,14.52,0.0,0.0,0.0,0.0
2000-05-02,85.48,14.52,0.0,0.0,0.0,0.0
2000-05-09,85.49,14.51,0.0,0.0,0.0,0.0
2000-05-16,85.49,14.51,0.0,0.0,0.0,0.0
2000-05-23,85.54,14.46,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,99.5,0.5,0.0,0.0,0.0,0.0
2000-06-20,99.6,0.4,0.0,0.0,0.0,0.0
2000-06-27,86.01,13.99,0.1,0.0,0.0,0.0
2000-07-04,99.86,0.14,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,99.49,0.51,0.0,0.0,0.0,0.0
2000-10-24,71.73,28.27,0.0,0.0,0.0,0.0
2000-10-31,8.45,91.55,2.04,0.0,0.0,0.0
2000-11-07,1.44,98.56,7.3,0.0,0.0,0.0
2000-11-14,1.33,98.67,7.3,0.0,0.0,0.0
2000-11-21,1.6,98.4,1.3,0.0,0.0,0.0
2000-11-28,45.07,54.93,1.66,0.0,0.0,0.0
2000-12-05,45.07,54.93,4.68,0.0,0.0,0.0
2000-12-12,44.79,55.21,4.72,0.0,0.0,0.0
2000-12-19,90.86,9.14,0.16,0.0,0.0,0.0
2000-12-26,92.63,7.37,0.16,0.0,0.0,0.0
2001-01-02,92.63,7.37,0.16,0.0,0.0,0.0
2001-01-09,92.63,7.37,0.18,0.0,0.0,0.0
2001-01-16,89.97,10.03,0.18,0.0,0.0,0.0
2001-01-23,88.08,11.92,0.0,0.0,0.0,0.0
2001-01-30,84.54,15.46,0.0,0.0,0.0,0.0
2001-02-06,87.25,12.75,0.0,0.0,0.0,0.0
2001-02-13,73.9,26.1,3.38,0.0,0.0,0.0
2001-02-20,74.55,25.45,0.37,0.0,0.0,0.0
2001-02-27,78.94,21.06,0.37,0.0,0.0,0.0
2001-03-06,84.46,15.54,0.36,0.0,0.0,0.0
2001-03-13,77.69,22.31,0.37,0.0,0.0,0.0
2001-03-20,18.43,81.57,1.23,0.0,0.0,0.0
2001-03-27,23.18,76.82,0.17,0.0,0.0,0.0
2001-04-03,66.8,33.2,0.0,0.0,0.0,0.0
2001-04-10,62.98,37.02,0.0,0.0,0.0,0.0
2001-04-17,62.98,37.02,0.0,0.0,0.0,0.0
2001-04-24,48.4,51.6,0.0,0.0,0.0,0.0
2001-05-01,64.63,35.37,0.04,0.0,0.0,0.0
2001-05-08,0.0,100.0,26.78,0.73,0.0,0.0
2001-05-15,0.0,100.0,57.54,5.51,0.0,0.0
2001-05-22,0.0,100.0,0.16,0.0,0.0,0.0
