Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,19.83,80.17,0.0,0.0,0.0,0.0
2000-11-14,99.93,0.07,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,99.44,0.56,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-30,99.74,0.26,0.0,0.0,0.0,0.0
2001-02-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,0.0,100.0,0.0,0.0,0.0,0.0
2001-05-15,0.0,100.0,76.59,0.0,0.0,0.0
2001-05-22,0.0,100.0,100.0,0.0,0.0,0.0
2001-05-29,5.99,94.01,17.27,0.0,0.0,0.0
2001-06-05,89.29,10.71,0.0,0.0,0.0,0.0
2001-06-12,94.44,5.56,0.0,0.0,0.0,0.0
2001-06-19,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-31,99.99,0.01,0.0,0.0,0.0,0.0
2001-08-07,63.32,36.68,0.0,0.0,0.0,0.0
2001-08-14,99.87,0.13,0.0,0.0,0.0,0.0
2001-08-21,100.0,0.0,0.0,0.0,0.0,0.0
2001-08-28,79.14,20.86,0.0,0.0,0.0,0.0
2001-09-04,47.32,52.68,0.0,0.0,0.0,0.0
2001-09-11,38.68,61.32,0.0,0.0,0.0,0.0
2001-09-18,47.29,52.71,0.0,0.0,0.0,0.0
2001-09-25,63.06,36.94,0.0,0.0,0.0,0.0
2001-10-02,64.27,35.73,0.0,0.0,0.0,0.0
2001-10-09,64.25,35.75,0.0,0.0,0.0,0.0
2001-10-16,64.25,35.75,0.0,0.0,0.0,0.0
2001-10-23,0.2,99.8,0.0,0.0,0.0,0.0
2001-10-30,2.27,97.73,65.25,0.0,0.0,0.0
2001-11-06,1.08,98.92,73.68,0.0,0.0,0.0
2001-11-13,1.0,99.0,73.68,0.0,0.0,0.0
2001-11-20,1.0,99.0,75.24,0.0,0.0,0.0
2001-11-27,0.0,100.0,72.71,0.0,0.0,0.0
2001-12-04,0.0,100.0,69.49,0.0,0.0,0.0
2001-12-11,0.0,100.0,69.49,0.0,0.0,0.0
2001-12-18,0.0,100.0,69.49,41.68,0.0,0.0
2001-12-25,0.0,100.0,69.49,33.11,0.0,0.0
2002-01-01,0.3,99.7,72.1,35.57,0.0,0.0
2002-01-08,7.79,92.21,71.64,35.65,0.0,0.0
2002-01-15,7.9,92.1,71.11,33.67,0.0,0.0
2002-01-22,9.69,90.31,68.94,30.48,0.0,0.0
2002-01-29,0.0,100.0,88.46,50.56,0.0,0.0
