Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,28.68,71.32,22.78,3.33,0.0,0.0
2000-01-11,31.68,68.32,32.77,9.22,0.0,0.0
2000-01-18,6.13,93.87,58.44,9.22,0.0,0.0
2000-01-25,5.07,94.93,60.09,9.22,0.0,0.0
2000-02-01,7.57,92.43,63.26,12.76,0.0,0.0
2000-02-08,7.57,92.43,63.26,12.76,0.0,0.0
2000-02-15,7.57,92.43,63.26,12.76,0.0,0.0
2000-02-22,7.57,92.43,61.5,12.76,0.0,0.0
2000-02-29,18.82,81.18,53.87,12.78,0.0,0.0
2000-03-07,18.86,81.14,38.64,12.78,0.0,0.0
2000-03-14,29.83,70.17,37.07,13.01,0.0,0.0
2000-03-21,35.89,64.11,34.51,13.01,0.0,0.0
2000-03-28,46.28,53.72,28.29,8.65,0.0,0.0
2000-04-04,38.09,61.91,37.2,21.72,0.0,0.0
2000-04-11,38.09,61.91,49.11,14.29,0.0,0.0
2000-04-18,40.63,59.37,46.63,22.42,0.0,0.0
2000-04-25,37.39,62.61,46.88,24.06,0.0,0.0
2000-05-02,34.45,65.55,56.22,37.25,0.0,0.0
2000-05-09,36.43,63.57,54.74,36.44,0.0,0.0
2000-05-16,36.43,63.57,54.46,37.54,0.0,0.0
2000-05-23,21.96,78.04,63.79,49.92,6.71,0.0
2000-05-30,23.62,76.38,60.04,33.18,3.69,0.0
2000-06-06,14.78,85.22,65.94,37.57,12.0,0.0
2000-06-13,8.37,91.63,74.25,46.82,16.13,0.0
2000-06-20,7.59,92.41,70.02,48.31,8.12,0.0
2000-06-27,17.73,82.27,63.06,39.85,0.0,0.0
2000-07-04,29.91,70.09,50.79,19.21,6.64,0.0
2000-07-11,35.86,64.14,45.97,13.55,6.64,0.0
2000-07-18,37.7,62.3,37.48,13.53,5.29,0.0
2000-07-25,44.78,55.22,24.31,9.78,3.88,0.0
2000-08-01,56.42,43.58,23.35,9.78,3.88,0.0
2000-08-08,56.45,43.55,22.32,9.83,3.88,0.0
2000-08-15,50.09,49.91,28.69,13.22,4.3,0.0
2000-08-22,55.49,44.51,22.97,11.27,4.3,0.0
2000-08-29,40.72,59.28,27.16,11.27,4.3,0.0
2000-09-05,19.05,80.95,48.9,15.9,4.3,0.0
2000-09-12,16.26,83.74,60.75,35.95,9.42,0.0
2000-09-19,8.06,91.94,75.01,50.46,10.58,0.0
2000-09-26,14.64,85.36,58.17,42.25,0.75,0.0
2000-10-03,14.65,85.35,59.5,42.76,3.33,0.0
2000-10-10,27.05,72.95,59.5,42.76,3.33,0.0
2000-10-17,21.55,78.45,56.11,41.26,6.29,0.0
2000-10-24,23.18,76.82,54.21,28.43,7.56,0.0
2000-10-31,23.06,76.94,50.58,14.77,1.33,0.0
2000-11-07,38.25,61.75,22.5,8.56,0.0,0.0
2000-11-14,47.57,52.43,22.21,6.39,0.0,0.0
2000-11-21,47.56,52.44,22.19,4.94,0.0,0.0
2000-11-28,47.22,52.78,22.19,4.94,0.0,0.0
2000-12-05,49.38,50.62,23.16,3.95,0.0,0.0
2000-12-12,49.52,50.48,23.16,4.82,0.0,0.0
2000-12-19,49.52,50.48,21.18,5.81,0.0,0.0
2000-12-26,50.08,49.92,19.97,6.71,0.0,0.0
2001-01-02,50.08,49.92,20.1,6.71,0.0,0.0
2001-01-09,39.9,60.1,20.86,6.71,0.0,0.0
2001-01-16,39.9,60.1,20.86,3.66,0.0,0.0
2001-01-23,16.41,83.59,26.32,8.05,0.0,0.0
2001-01-30,48.47,51.53,18.02,4.49,0.0,0.0
2001-02-06,50.24,49.76,18.02,4.49,0.0,0.0
2001-02-13,72.61,27.39,3.77,0.0,0.0,0.0
2001-02-20,72.61,27.39,3.77,0.0,0.0,0.0
2001-02-27,84.81,15.19,0.0,0.0,0.0,0.0
2001-03-06,87.48,12.52,0.0,0.0,0.0,0.0
2001-03-13,83.99,16.01,0.0,0.0,0.0,0.0
2001-03-20,84.54,15.46,0.0,0.0,0.0,0.0
2001-03-27,84.54,15.46,0.0,0.0,0.0,0.0
2001-04-03,87.18,12.82,0.0,0.0,0.0,0.0
2001-04-10,87.44,12.56,0.0,0.0,0.0,0.0
2001-04-17,92.34,7.66,0.0,0.0,0.0,0.0
2001-04-24,93.62,6.38,0.0,0.0,0.0,0.0
2001-05-01,85.0,15.0,0.85,0.0,0.0,0.0
2001-05-08,87.54,12.46,1.32,0.0,0.0,0.0
2001-05-15,83.7,16.3,1.32,0.0,0.0,0.0
2001-05-22,94.91,5.09,0.35,0.0,0.0,0.0
2001-05-29,94.91,5.09,0.35,0.0,0.0,0.0
2001-06-05,95.56,4.44,0.0,0.0,0.0,0.0
2001-06-12,95.59,4.41,0.0,0.0,0.0,0.0
2001-06-19,90.99,9.01,0.0,0.0,0.0,0.0
2001-06-26,86.84,13.16,0.0,0.0,0.0,0.0
2001-07-03,80.77,19.23,4.61,0.0,0.0,0.0
2001-07-10,70.0,30.0,4.49,0.0,0.0,0.0
2001-07-17,74.41,25.59,2.12,0.0,0.0,0.0
2001-07-24,65.4,34.6,2.12,0.0,0.0,0.0
2001-07-31,87.82,12.18,2.13,0.0,0.0,0.0
2001-08-07,86.17,13.83,2.13,0.0,0.0,0.0
2001-08-14,88.89,11.11,3.68,0.0,0.0,0.0
2001-08-21,82.78,17.22,2.48,0.0,0.0,0.0
2001-08-28,87.14,12.86,2.78,0.0,0.0,0.0
2001-09-04,71.42,28.58,5.19,0.0,0.0,0.0
2001-09-11,85.76,14.24,3.68,0.0,0.0,0.0
2001-09-18,87.79,12.21,2.34,0.0,0.0,0.0
2001-09-25,92.08,7.92,2.34,0.0,0.0,0.0
2001-10-02,91.58,8.42,2.34,0.0,0.0,0.0
2001-10-09,91.58,8.42,2.34,0.0,0.0,0.0
2001-10-16,92.71,7.29,2.34,0.0,0.0,0.0
2001-10-23,91.82,8.18,2.34,0.0,0.0,0.0
2001-10-30,91.86,8.14,2.34,0.0,0.0,0.0
2001-11-06,91.86,8.14,2.34,0.0,0.0,0.0
2001-11-13,87.07,12.93,2.34,0.0,0.0,0.0
2001-11-20,88.3,11.7,2.34,0.0,0.0,0.0
2001-11-27,91.57,8.43,0.0,0.0,0.0,0.0
2001-12-04,76.46,23.54,0.0,0.0,0.0,0.0
2001-12-11,75.31,24.69,0.0,0.0,0.0,0.0
2001-12-18,78.99,21.01,0.0,0.0,0.0,0.0
2001-12-25,66.7,33.3,1.65,0.0,0.0,0.0
2002-01-01,56.88,43.12,1.73,0.0,0.0,0.0
2002-01-08,51.11,48.89,1.71,0.0,0.0,0.0
2002-01-15,46.35,53.65,1.77,0.0,0.0,0.0
2002-01-22,45.89,54.11,1.93,0.0,0.0,0.0
2002-01-29,45.43,54.57,1.76,0.0,0.0,0.0
2002-02-05,78.94,21.06,0.0,0.0,0.0,0.0
2002-02-12,75.52,24.48,6.99,0.0,0.0,0.0
2002-02-19,75.52,24.48,6.87,0.0,0.0,0.0
2002-02-26,67.49,32.51,7.62,0.0,0.0,0.0
2002-03-05,67.83,32.17,7.78,0.0,0.0,0.0
2002-03-12,62.73,37.27,7.84,0.0,0.0,0.0
2002-03-19,58.04,41.96,7.24,0.0,0.0,0.0
2002-03-26,52.12,47.88,9.02,0.0,0.0,0.0
2002-04-02,36.41,63.59,29.26,0.0,0.0,0.0
2002-04-09,36.74,63.26,33.04,1.6,0.0,0.0
2002-04-16,18.8,81.2,37.27,2.72,0.0,0.0
2002-04-23,49.65,50.35,33.46,14.9,0.11,0.0
2002-04-30,51.0,49.0,36.92,16.71,4.03,0.0
2002-05-07,48.94,51.06,41.39,20.85,4.03,0.0
2002-05-14,55.84,44.16,36.87,20.16,13.6,0.0
2002-05-21,55.98,44.02,37.39,20.27,13.86,0.0
2002-05-28,58.22,41.78,37.4,24.31,12.77,0.0
2002-06-04,58.66,41.34,37.41,24.17,12.74,0.0
2002-06-11,58.8,41.2,37.1,24.0,9.95,0.0
2002-06-18,63.31,36.69,31.8,25.78,11.71,0.0
2002-06-25,47.21,52.79,30.55,27.2,15.31,0.0
2002-07-02,25.6,74.4,43.76,30.44,17.19,0.0
