Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,53.96,46.04,14.34,9.74,0.0,0.0
2000-01-11,54.06,45.94,15.14,11.3,0.0,0.0
2000-01-18,53.02,46.98,15.22,11.3,0.0,0.0
2000-01-25,37.92,62.08,15.36,11.3,0.0,0.0
2000-02-01,51.16,48.84,18.9,12.46,0.0,0.0
2000-02-08,51.16,48.84,18.9,12.46,0.0,0.0
2000-02-15,51.16,48.84,18.9,12.46,0.0,0.0
2000-02-22,51.16,48.84,18.9,12.46,0.0,0.0
2000-02-29,50.21,49.79,16.58,12.46,0.0,0.0
2000-03-07,50.21,49.79,16.14,12.45,0.0,0.0
2000-03-14,62.52,37.48,14.93,12.57,0.0,0.0
2000-03-21,62.52,37.48,14.93,12.57,0.0,0.0
2000-03-28,59.41,40.59,14.93,12.57,0.0,0.0
2000-04-04,51.44,48.56,15.61,13.93,0.0,0.0
2000-04-11,43.15,56.85,15.61,13.45,0.0,0.0
2000-04-18,31.73,68.27,15.8,13.03,0.0,0.0
2000-04-25,43.41,56.59,15.63,11.2,0.0,0.0
2000-05-02,45.58,54.42,14.7,10.22,0.0,0.0
2000-05-09,43.71,56.29,14.7,10.22,0.0,0.0
2000-05-16,45.33,54.67,19.19,10.22,0.0,0.0
2000-05-23,51.59,48.41,18.78,7.06,0.46,0.0
2000-05-30,57.95,42.05,22.44,5.16,0.22,0.0
2000-06-06,63.82,36.18,13.74,4.81,0.88,0.0
2000-06-13,56.38,43.62,16.15,5.85,0.99,0.0
2000-06-20,54.24,45.76,17.7,6.99,0.58,0.0
2000-06-27,48.63,51.37,22.54,6.31,0.0,0.0
2000-07-04,39.51,60.49,27.97,8.12,0.11,0.0
2000-07-11,39.96,60.04,28.47,4.88,0.11,0.0
2000-07-18,40.09,59.91,29.32,4.43,0.21,0.0
2000-07-25,39.92,60.08,28.0,4.37,0.24,0.0
2000-08-01,40.11,59.89,28.61,11.51,0.24,0.0
2000-08-08,46.17,53.83,27.44,12.99,0.24,0.0
2000-08-15,44.34,55.66,28.82,16.87,0.52,0.0
2000-08-22,44.93,55.07,30.0,17.4,0.52,0.0
2000-08-29,37.14,62.86,35.03,17.87,1.7,0.0
2000-09-05,31.89,68.11,35.78,18.0,1.7,0.0
2000-09-12,29.03,70.97,37.57,18.8,1.7,0.0
2000-09-19,27.01,72.99,41.42,25.57,2.48,0.0
2000-09-26,25.1,74.9,37.79,24.67,3.54,0.0
2000-10-03,26.55,73.45,37.77,24.65,3.54,0.0
2000-10-10,29.32,70.68,36.54,23.39,3.31,0.0
2000-10-17,19.28,80.72,45.9,22.15,2.82,0.0
2000-10-24,9.75,90.25,53.38,25.8,4.2,0.0
2000-10-31,9.34,90.66,56.4,18.23,2.83,0.0
2000-11-07,30.96,69.04,28.34,11.64,1.0,0.0
2000-11-14,36.45,63.55,23.01,9.86,0.59,0.0
2000-11-21,36.98,63.02,24.2,9.84,0.59,0.0
2000-11-28,36.98,63.02,24.2,9.84,0.59,0.0
2000-12-05,40.47,59.53,23.95,9.47,0.59,0.0
2000-12-12,42.16,57.84,23.95,9.74,0.59,0.0
2000-12-19,43.12,56.88,23.36,9.98,0.59,0.0
2000-12-26,47.85,52.15,21.63,10.31,0.59,0.0
2001-01-02,47.85,52.15,21.74,10.31,0.57,0.0
2001-01-09,52.52,47.48,21.74,10.31,0.57,0.0
2001-01-16,52.52,47.48,21.74,8.02,0.57,0.0
2001-01-23,36.52,63.48,21.67,8.58,0.57,0.0
2001-01-30,44.75,55.25,19.86,8.28,0.0,0.0
2001-02-06,47.31,52.69,19.86,8.28,0.0,0.0
2001-02-13,47.02,52.98,35.27,8.61,0.0,0.0
2001-02-20,46.84,53.16,34.63,8.61,0.0,0.0
2001-02-27,48.83,51.17,35.12,8.61,0.0,0.0
2001-03-06,48.68,51.32,35.02,8.61,0.0,0.0
2001-03-13,46.97,53.03,34.39,19.99,0.0,0.0
2001-03-20,47.85,52.15,34.66,19.99,0.0,0.0
2001-03-27,47.85,52.15,34.66,19.99,0.0,0.0
2001-04-03,47.66,52.34,26.37,18.43,0.0,0.0
2001-04-10,51.58,48.42,26.37,18.43,0.0,0.0
2001-04-17,57.55,42.45,26.37,18.43,0.0,0.0
2001-04-24,60.78,39.22,26.37,18.43,0.0,0.0
2001-05-01,60.81,39.19,27.46,18.43,0.0,0.0
2001-05-08,61.06,38.94,27.46,18.43,0.0,0.0
2001-05-15,58.12,41.88,30.63,19.62,4.64,0.0
2001-05-22,58.12,41.88,30.63,19.62,4.64,0.0
2001-05-29,58.12,41.88,30.63,19.62,4.6,0.0
2001-06-05,61.3,38.7,29.01,19.62,4.21,0.0
2001-06-12,60.68,39.32,29.78,20.08,4.21,0.0
2001-06-19,62.82,37.18,24.97,11.55,3.05,0.0
2001-06-26,57.93,42.07,26.81,12.53,3.05,0.0
2001-07-03,49.77,50.23,30.36,17.64,3.8,0.0
2001-07-10,56.33,43.67,30.05,17.64,3.21,0.0
2001-07-17,57.36,42.64,28.61,16.33,3.44,0.0
2001-07-24,60.91,39.09,27.79,14.98,3.44,0.0
2001-07-31,57.71,42.29,28.66,16.08,5.73,0.0
2001-08-07,55.88,44.12,26.37,14.49,5.24,0.0
2001-08-14,54.88,45.12,28.27,17.13,4.51,0.0
