Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,97.6,2.4,0.0,0.0,0.0,0.0
2000-01-11,96.59,3.41,0.0,0.0,0.0,0.0
2000-01-18,99.75,0.25,0.0,0.0,0.0,0.0
2000-01-25,97.24,2.76,0.0,0.0,0.0,0.0
2000-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,55.85,44.15,0.0,0.0,0.0,0.0
2000-08-15,55.85,44.15,0.0,0.0,0.0,0.0
2000-08-22,55.85,44.15,0.0,0.0,0.0,0.0
2000-08-29,48.57,51.43,1.58,0.0,0.0,0.0
2000-09-05,67.94,32.06,0.0,0.0,0.0,0.0
2000-09-12,99.78,0.22,0.0,0.0,0.0,0.0
2000-09-19,99.78,0.22,0.0,0.0,0.0,0.0
2000-09-26,99.78,0.22,0.0,0.0,0.0,0.0
2000-10-03,99.78,0.22,0.0,0.0,0.0,0.0
2000-10-10,99.78,0.22,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,83.66,16.34,0.0,0.0,0.0,0.0
2001-01-16,84.12,15.88,0.0,0.0,0.0,0.0
2001-01-23,1.02,98.98,0.0,0.0,0.0,0.0
2001-01-30,0.93,99.07,0.0,0.0,0.0,0.0
2001-02-06,0.93,99.07,0.0,0.0,0.0,0.0
2001-02-13,0.93,99.07,98.84,0.0,0.0,0.0
2001-02-20,0.25,99.75,99.61,0.0,0.0,0.0
2001-02-27,0.0,100.0,99.77,0.0,0.0,0.0
2001-03-06,0.0,100.0,100.0,0.0,0.0,0.0
2001-03-13,0.0,100.0,100.0,0.0,0.0,0.0
2001-03-20,0.0,100.0,100.0,17.58,0.0,0.0
2001-03-27,0.0,100.0,100.0,17.58,0.0,0.0
2001-04-03,0.0,100.0,100.0,33.36,2.28,0.0
2001-04-10,0.0,100.0,100.0,33.36,2.28,0.0
2001-04-17,0.0,100.0,100.0,33.36,2.28,0.0
2001-04-24,0.0,100.0,100.0,33.36,2.28,0.0
2001-05-01,0.0,100.0,100.0,33.36,2.28,0.0
2001-05-08,0.0,100.0,100.0,33.36,1.88,0.0
2001-05-15,0.0,100.0,100.0,33.86,2.04,0.0
2001-05-22,0.0,100.0,100.0,33.86,2.04,0.0
2001-05-29,0.0,100.0,100.0,43.53,1.95,0.0
2001-06-05,0.0,100.0,100.0,43.25,2.04,0.0
2001-06-12,0.0,100.0,100.0,42.83,2.04,0.0
2001-06-19,0.0,100.0,100.0,91.71,3.25,0.0
2001-06-26,0.0,100.0,100.0,91.71,14.15,0.0
2001-07-03,0.0,100.0,100.0,92.65,23.29,0.0
2001-07-10,0.0,100.0,100.0,92.65,22.64,0.0
2001-07-17,0.0,100.0,100.0,92.65,22.64,0.0
2001-07-24,0.0,100.0,100.0,92.54,22.64,0.0
