Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,98.94,1.06,0.0,0.0,0.0,0.0
2000-01-11,94.4,5.6,0.0,0.0,0.0,0.0
2000-01-18,94.59,5.41,0.0,0.0,0.0,0.0
2000-01-25,86.55,13.45,0.0,0.0,0.0,0.0
2000-02-01,98.51,1.49,0.0,0.0,0.0,0.0
2000-02-08,98.65,1.35,0.0,0.0,0.0,0.0
2000-02-15,98.65,1.35,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,97.5,2.5,0.0,0.0,0.0,0.0
2000-04-18,94.79,5.21,0.0,0.0,0.0,0.0
2000-04-25,97.8,2.2,0.0,0.0,0.0,0.0
2000-05-02,97.8,2.2,0.0,0.0,0.0,0.0
2000-05-09,97.8,2.2,0.0,0.0,0.0,0.0
2000-05-16,97.8,2.2,0.0,0.0,0.0,0.0
2000-05-23,99.27,0.73,0.0,0.0,0.0,0.0
2000-05-30,99.81,0.19,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,99.88,0.12,0.0,0.0,0.0,0.0
2000-06-20,99.87,0.13,0.0,0.0,0.0,0.0
2000-06-27,81.0,19.0,0.0,0.0,0.0,0.0
2000-07-04,45.0,55.0,5.75,0.0,0.0,0.0
2000-07-11,44.7,55.3,23.77,0.0,0.0,0.0
2000-07-18,29.41,70.59,35.14,0.0,0.0,0.0
2000-07-25,31.91,68.09,35.14,0.0,0.0,0.0
2000-08-01,24.81,75.19,38.13,0.0,0.0,0.0
2000-08-08,4.97,95.03,38.68,0.0,0.0,0.0
2000-08-15,4.97,95.03,41.28,5.5,0.0,0.0
2000-08-22,4.97,95.03,53.7,9.86,0.0,0.0
2000-08-29,3.67,96.33,66.14,11.24,0.29,0.0
2000-09-05,14.55,85.45,41.92,10.47,0.29,0.0
2000-09-12,24.65,75.35,41.92,10.47,0.29,0.0
2000-09-19,24.65,75.35,41.92,9.51,0.29,0.0
2000-09-26,24.64,75.36,46.86,9.63,0.24,0.0
2000-10-03,27.26,72.74,46.84,9.61,0.24,0.0
2000-10-10,27.63,72.37,46.8,9.48,0.24,0.0
2000-10-17,41.45,58.55,41.0,0.5,0.0,0.0
2000-10-24,51.89,48.11,21.86,0.0,0.0,0.0
2000-10-31,67.99,32.01,0.18,0.0,0.0,0.0
2000-11-07,75.68,24.32,0.0,0.0,0.0,0.0
2000-11-14,81.04,18.96,0.0,0.0,0.0,0.0
2000-11-21,82.7,17.3,0.0,0.0,0.0,0.0
2000-11-28,82.7,17.3,0.0,0.0,0.0,0.0
2000-12-05,89.21,10.79,0.0,0.0,0.0,0.0
2000-12-12,91.39,8.61,0.0,0.0,0.0,0.0
2000-12-19,99.48,0.52,0.0,0.0,0.0,0.0
2000-12-26,99.85,0.15,0.0,0.0,0.0,0.0
2001-01-02,99.85,0.15,0.0,0.0,0.0,0.0
2001-01-09,93.95,6.05,0.0,0.0,0.0,0.0
2001-01-16,93.95,6.05,0.0,0.0,0.0,0.0
2001-01-23,35.87,64.13,0.0,0.0,0.0,0.0
2001-01-30,35.58,64.42,0.0,0.0,0.0,0.0
2001-02-06,35.58,64.42,0.0,0.0,0.0,0.0
2001-02-13,29.55,70.45,68.51,0.0,0.0,0.0
2001-02-20,29.68,70.32,69.4,0.0,0.0,0.0
2001-02-27,0.0,100.0,70.43,0.0,0.0,0.0
2001-03-06,0.0,100.0,83.27,0.0,0.0,0.0
2001-03-13,0.0,100.0,83.27,34.74,0.0,0.0
2001-03-20,0.0,100.0,94.53,34.74,0.0,0.0
2001-03-27,0.0,100.0,94.53,34.74,0.0,0.0
2001-04-03,0.0,100.0,95.5,48.87,0.0,0.0
2001-04-10,0.0,100.0,96.64,48.87,0.0,0.0
2001-04-17,0.0,100.0,96.64,48.87,0.0,0.0
2001-04-24,0.0,100.0,96.64,48.87,0.0,0.0
2001-05-01,0.0,100.0,96.64,48.87,0.0,0.0
2001-05-08,0.0,100.0,96.64,48.87,0.0,0.0
2001-05-15,0.0,100.0,96.64,53.04,0.0,0.0
2001-05-22,0.0,100.0,96.64,53.04,0.0,0.0
2001-05-29,0.0,100.0,96.64,53.7,0.0,0.0
2001-06-05,0.0,100.0,100.0,53.7,0.0,0.0
2001-06-12,0.0,100.0,100.0,54.09,0.0,0.0
