Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,51.74,48.26,32.2,21.07,0.0,0.0
2000-01-11,52.61,47.39,31.07,21.07,0.0,0.0
2000-01-18,51.95,48.05,31.07,21.07,0.0,0.0
2000-01-25,51.95,48.05,31.94,22.26,0.0,0.0
2000-02-01,48.35,51.65,33.4,12.66,0.0,0.0
2000-02-08,48.35,51.65,33.4,12.66,0.0,0.0
2000-02-15,48.35,51.65,33.4,12.66,0.0,0.0
2000-02-22,44.39,55.61,33.4,12.66,0.0,0.0
2000-02-29,6.48,93.52,55.95,24.33,0.0,0.0
2000-03-07,6.48,93.52,55.56,28.36,0.0,0.0
2000-03-14,6.48,93.52,68.09,32.18,0.0,0.0
2000-03-21,6.48,93.52,68.09,37.24,0.0,0.0
2000-03-28,6.48,93.52,76.02,51.92,0.0,0.0
2000-04-04,6.48,93.52,80.94,69.6,0.0,0.0
2000-04-11,7.55,92.45,75.53,67.06,0.0,0.0
2000-04-18,14.33,85.67,75.59,69.87,0.0,0.0
2000-04-25,14.08,85.92,75.71,64.53,0.0,0.0
2000-05-02,14.04,85.96,76.63,66.03,0.0,0.0
2000-05-09,13.65,86.35,77.32,66.85,0.0,0.0
2000-05-16,13.65,86.35,77.32,69.78,5.56,0.0
2000-05-23,9.77,90.23,81.68,69.78,14.94,0.0
2000-05-30,5.16,94.84,93.36,72.64,30.19,0.0
2000-06-06,5.16,94.84,83.48,72.63,33.44,0.0
2000-06-13,16.11,83.89,77.78,72.64,46.81,9.09
2000-06-20,16.22,83.78,77.78,72.64,45.31,8.49
2000-06-27,5.02,94.98,90.78,77.88,54.21,8.49
2000-07-04,2.88,97.12,81.55,69.59,40.4,0.01
2000-07-11,6.94,93.06,81.57,69.79,37.3,0.82
2000-07-18,2.82,97.18,84.19,62.09,31.19,5.99
2000-07-25,9.62,90.38,78.12,60.99,18.19,2.37
2000-08-01,9.62,90.38,74.98,54.55,12.42,0.75
2000-08-08,11.32,88.68,65.87,46.87,9.5,0.75
2000-08-15,11.55,88.45,62.73,40.42,9.5,0.0
2000-08-22,11.55,88.45,61.24,41.14,12.58,0.0
2000-08-29,13.96,86.04,60.49,41.14,12.42,0.0
2000-09-05,13.96,86.04,60.75,41.32,8.71,0.0
2000-09-12,18.24,81.76,61.82,45.46,0.0,0.0
2000-09-19,27.85,72.15,45.54,0.17,0.0,0.0
2000-09-26,28.35,71.65,40.42,0.0,0.0,0.0
2000-10-03,34.81,65.19,40.42,0.0,0.0,0.0
2000-10-10,39.14,60.86,41.51,10.03,0.0,0.0
2000-10-17,21.07,78.93,54.29,23.54,0.0,0.0
2000-10-24,14.78,85.22,56.09,29.84,10.31,0.0
2000-10-31,14.78,85.22,62.68,41.73,19.7,0.0
2000-11-07,14.78,85.22,63.06,41.73,19.7,0.0
2000-11-14,6.64,93.36,66.79,45.34,22.0,0.0
2000-11-21,6.64,93.36,68.6,53.45,27.64,0.0
2000-11-28,6.48,93.52,72.54,56.62,27.64,0.0
2000-12-05,3.76,96.24,80.08,58.99,33.32,7.74
2000-12-12,8.52,91.48,80.08,62.37,38.56,14.15
2000-12-19,8.65,91.35,82.32,65.51,39.31,17.03
2000-12-26,8.58,91.42,79.53,67.09,43.87,20.21
2001-01-02,8.57,91.43,78.89,65.25,43.45,18.77
2001-01-09,8.57,91.43,79.98,65.62,42.95,18.77
2001-01-16,6.71,93.29,79.98,65.62,49.7,18.88
2001-01-23,3.87,96.13,87.69,67.87,50.26,19.61
2001-01-30,3.87,96.13,87.03,67.87,50.26,19.61
2001-02-06,5.64,94.36,90.94,70.35,47.47,19.02
2001-02-13,5.64,94.36,92.26,82.08,61.39,34.78
2001-02-20,5.49,94.51,93.41,87.26,61.39,36.24
2001-02-27,5.49,94.51,93.41,87.26,65.88,41.58
2001-03-06,5.13,94.87,93.41,88.05,65.88,40.18
2001-03-13,5.13,94.87,93.41,80.55,64.02,40.18
2001-03-20,5.13,94.87,93.41,77.37,61.6,38.81
2001-03-27,5.86,94.14,93.41,77.37,59.39,36.48
2001-04-03,6.02,93.98,93.41,77.38,59.39,10.21
2001-04-10,6.48,93.52,93.41,77.37,59.39,11.66
2001-04-17,6.48,93.52,93.41,77.37,65.0,15.17
2001-04-24,6.48,93.52,93.41,77.38,65.0,15.17
2001-05-01,6.48,93.52,93.41,77.37,65.0,15.17
2001-05-08,6.48,93.52,93.41,76.4,66.61,15.17
2001-05-15,6.48,93.52,93.41,81.51,66.61,26.07
2001-05-22,6.48,93.52,93.41,81.51,67.34,27.62
2001-05-29,6.48,93.52,93.41,80.77,67.25,27.5
2001-06-05,6.48,93.52,93.41,80.77,58.92,22.64
2001-06-12,10.28,89.72,80.73,70.83,47.15,5.44
2001-06-19,7.03,92.97,76.71,65.37,43.35,0.0
2001-06-26,6.24,93.76,76.7,64.46,40.41,0.0
2001-07-03,16.79,83.21,71.59,64.62,33.36,0.0
2001-07-10,20.15,79.85,70.48,64.63,33.36,0.0
2001-07-17,20.24,79.76,67.12,52.09,9.09,0.0
2001-07-24,27.84,72.16,50.02,13.78,0.0,0.0
2001-07-31,38.08,61.92,45.53,13.78,0.0,0.0
2001-08-07,80.89,19.11,3.09,0.0,0.0,0.0
2001-08-14,71.44,28.56,5.38,0.0,0.0,0.0
2001-08-21,71.54,28.46,5.38,0.0,0.0,0.0
2001-08-28,61.51,38.49,10.97,0.0,0.0,0.0
2001-09-04,53.44,46.56,12.59,0.0,0.0,0.0
2001-09-11,66.37,33.63,8.6,0.0,0.0,0.0
2001-09-18,89.23,10.77,0.0,0.0,0.0,0.0
2001-09-25,81.28,18.72,0.0,0.0,0.0,0.0
2001-10-02,83.34,16.66,0.0,0.0,0.0,0.0
2001-10-09,83.34,16.66,0.0,0.0,0.0,0.0
2001-10-16,81.19,18.81,0.0,0.0,0.0,0.0
2001-10-23,82.46,17.54,0.0,0.0,0.0,0.0
2001-10-30,65.8,34.2,0.0,0.0,0.0,0.0
2001-11-06,58.02,41.98,0.0,0.0,0.0,0.0
2001-11-13,62.36,37.64,0.2,0.0,0.0,0.0
2001-11-20,62.36,37.64,0.2,0.0,0.0,0.0
2001-11-27,58.25,41.75,0.2,0.0,0.0,0.0
2001-12-04,58.31,41.69,0.2,0.0,0.0,0.0
2001-12-11,57.13,42.87,0.0,0.0,0.0,0.0
2001-12-18,56.23,43.77,1.89,0.0,0.0,0.0
2001-12-25,40.27,59.73,1.89,0.0,0.0,0.0
2002-01-01,40.01,59.99,14.64,2.75,0.0,0.0
2002-01-08,40.35,59.65,14.46,0.09,0.0,0.0
2002-01-15,60.52,39.48,7.96,0.0,0.0,0.0
2002-01-22,61.29,38.71,7.22,0.01,0.0,0.0
2002-01-29,61.72,38.28,7.04,0.0,0.0,0.0
2002-02-05,62.56,37.44,9.15,0.95,0.0,0.0
2002-02-12,61.4,38.6,11.01,1.69,0.0,0.0
2002-02-19,53.71,46.29,11.14,1.57,0.0,0.0
2002-02-26,53.91,46.09,10.41,3.58,0.0,0.0
2002-03-05,68.03,31.97,3.98,2.18,0.0,0.0
2002-03-12,53.57,46.43,3.74,2.54,0.0,0.0
2002-03-19,32.91,67.09,4.27,2.84,0.0,0.0
2002-03-26,31.76,68.24,4.11,3.08,0.0,0.0
2002-04-02,29.87,70.13,7.16,0.97,0.0,0.0
2002-04-09,36.42,63.58,7.25,1.2,0.0,0.0
2002-04-16,52.71,47.29,6.29,0.02,0.0,0.0
2002-04-23,51.68,48.32,6.66,0.05,0.0,0.0
2002-04-30,22.59,77.41,9.44,2.15,0.0,0.0
2002-05-07,11.38,88.62,11.76,2.45,0.0,0.0
2002-05-14,6.48,93.52,21.43,11.25,0.0,0.0
2002-05-21,6.48,93.52,21.95,10.29,0.06,0.0
2002-05-28,6.48,93.52,22.78,11.52,0.0,0.0
2002-06-04,12.63,87.37,23.72,11.74,0.0,0.0
2002-06-11,17.53,82.47,23.66,11.58,0.0,0.0
2002-06-18,59.88,40.12,22.75,12.3,0.0,0.0
2002-06-25,82.13,17.87,12.35,8.62,0.0,0.0
