Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,46.91,26.22,0.0,0.0
2000-01-11,0.0,100.0,73.54,19.82,0.0,0.0
2000-01-18,0.0,100.0,72.87,19.96,0.0,0.0
2000-01-25,0.0,100.0,72.21,17.88,0.0,0.0
2000-02-01,0.0,100.0,57.45,8.12,0.0,0.0
2000-02-08,0.0,100.0,61.82,8.57,0.0,0.0
2000-02-15,0.0,100.0,61.82,8.57,0.0,0.0
2000-02-22,0.0,100.0,66.06,9.77,0.0,0.0
2000-02-29,0.0,100.0,66.42,25.78,0.0,0.0
2000-03-07,0.0,100.0,71.11,29.73,0.0,0.0
2000-03-14,0.0,100.0,77.53,37.84,0.0,0.0
2000-03-21,0.0,100.0,74.86,36.25,0.0,0.0
2000-03-28,0.0,100.0,68.54,30.19,0.0,0.0
2000-04-04,0.0,100.0,66.28,30.74,0.0,0.0
2000-04-11,24.45,75.55,63.57,28.39,0.0,0.0
2000-04-18,18.22,81.78,66.63,32.83,0.0,0.0
2000-04-25,25.18,74.82,59.17,34.04,0.0,0.0
2000-05-02,25.18,74.82,62.53,42.42,0.0,0.0
2000-05-09,16.46,83.54,71.37,52.97,0.0,0.0
2000-05-16,12.24,87.76,76.12,57.34,28.36,0.0
2000-05-23,2.84,97.16,76.12,57.37,28.36,0.0
2000-05-30,0.0,100.0,93.49,60.42,34.77,0.0
2000-06-06,0.0,100.0,93.61,60.42,34.77,0.26
2000-06-13,0.0,100.0,98.52,76.7,56.06,21.27
2000-06-20,0.0,100.0,98.52,76.7,56.06,23.96
2000-06-27,0.0,100.0,96.49,75.87,55.53,23.96
2000-07-04,0.42,99.58,91.42,75.71,54.46,28.37
2000-07-11,0.0,100.0,99.54,86.04,62.22,36.84
2000-07-18,0.0,100.0,100.0,91.8,82.04,48.89
2000-07-25,0.0,100.0,100.0,97.73,90.82,58.75
2000-08-01,0.0,100.0,100.0,98.27,90.1,56.24
