Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,58.68,41.32,7.52,0.0,0.0,0.0
2000-01-11,66.01,33.99,1.03,0.0,0.0,0.0
2000-01-18,65.1,34.9,1.03,0.0,0.0,0.0
2000-01-25,88.42,11.58,0.0,0.0,0.0,0.0
2000-02-01,99.84,0.16,0.0,0.0,0.0,0.0
2000-02-08,99.84,0.16,0.0,0.0,0.0,0.0
2000-02-15,99.97,0.03,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,81.68,18.32,0.0,0.0,0.0,0.0
2000-03-07,68.02,31.98,8.9,0.0,0.0,0.0
2000-03-14,66.71,33.29,8.9,0.0,0.0,0.0
2000-03-21,66.96,33.04,8.9,0.0,0.0,0.0
2000-03-28,72.38,27.62,5.68,0.0,0.0,0.0
2000-04-04,66.88,33.12,1.8,0.0,0.0,0.0
2000-04-11,73.28,26.72,1.8,0.0,0.0,0.0
2000-04-18,93.17,6.83,0.0,0.0,0.0,0.0
2000-04-25,95.03,4.97,0.0,0.0,0.0,0.0
2000-05-02,95.03,4.97,0.0,0.0,0.0,0.0
2000-05-09,95.23,4.77,0.0,0.0,0.0,0.0
2000-05-16,94.63,5.37,0.0,0.0,0.0,0.0
2000-05-23,86.14,13.86,1.02,0.0,0.0,0.0
2000-05-30,78.13,21.87,0.24,0.0,0.0,0.0
2000-06-06,78.32,21.68,0.47,0.0,0.0,0.0
2000-06-13,66.19,33.81,15.15,0.8,0.0,0.0
2000-06-20,68.01,31.99,18.96,7.37,0.0,0.0
2000-06-27,46.61,53.39,29.93,14.56,0.0,0.0
2000-07-04,59.39,40.61,24.04,16.7,6.42,0.0
2000-07-11,62.5,37.5,24.04,16.7,6.71,0.0
2000-07-18,44.23,55.77,33.55,18.42,0.77,0.0
2000-07-25,65.73,34.27,22.08,12.77,0.03,0.0
2000-08-01,72.6,27.4,20.14,9.98,0.0,0.0
2000-08-08,74.03,25.97,18.72,9.89,0.0,0.0
2000-08-15,77.43,22.57,15.01,7.58,0.0,0.0
2000-08-22,78.6,21.4,14.09,6.78,0.0,0.0
2000-08-29,78.62,21.38,14.09,6.77,0.0,0.0
2000-09-05,81.55,18.45,8.28,0.9,0.0,0.0
2000-09-12,81.53,18.47,8.29,0.88,0.0,0.0
2000-09-19,81.53,18.47,8.29,0.88,0.0,0.0
