Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,51.8,48.2,17.55,15.77,0.0,0.0
2000-01-11,8.09,91.91,17.66,15.78,0.0,0.0
2000-01-18,5.84,94.16,17.66,15.78,0.0,0.0
2000-01-25,6.64,93.36,17.66,15.78,0.0,0.0
2000-02-01,13.34,86.66,25.58,17.23,0.0,0.0
2000-02-08,14.01,85.99,25.58,17.23,0.0,0.0
2000-02-15,14.0,86.0,38.09,17.23,0.0,0.0
2000-02-22,17.15,82.85,38.09,17.23,0.0,0.0
2000-02-29,15.53,84.47,48.82,23.16,0.0,0.0
2000-03-07,16.31,83.69,48.15,23.12,0.0,0.0
2000-03-14,22.46,77.54,50.34,23.12,0.0,0.0
2000-03-21,23.5,76.5,51.29,28.61,0.0,0.0
2000-03-28,40.25,59.75,44.05,26.25,0.0,0.0
2000-04-04,39.53,60.47,43.86,29.65,0.0,0.0
2000-04-11,38.88,61.12,44.77,29.65,0.0,0.0
2000-04-18,37.68,62.32,43.76,29.83,0.0,0.0
2000-04-25,38.29,61.71,43.76,29.83,13.3,0.0
2000-05-02,38.4,61.6,43.74,29.83,13.59,0.0
2000-05-09,38.4,61.6,43.73,29.83,13.59,0.0
2000-05-16,27.07,72.93,60.75,42.83,15.86,0.0
2000-05-23,27.07,72.93,60.78,42.83,16.09,0.0
2000-05-30,26.99,73.01,64.48,52.03,27.48,0.0
2000-06-06,21.4,78.6,62.92,51.13,26.26,0.0
2000-06-13,3.94,96.06,63.17,51.13,26.26,0.0
2000-06-20,0.0,100.0,63.17,50.14,25.52,0.0
2000-06-27,0.0,100.0,66.05,44.16,0.0,0.0
2000-07-04,2.93,97.07,14.17,0.0,0.0,0.0
2000-07-11,2.9,97.1,18.14,1.23,0.0,0.0
2000-07-18,26.44,73.56,12.67,1.23,0.0,0.0
2000-07-25,28.64,71.36,14.08,1.89,0.0,0.0
2000-08-01,28.64,71.36,16.87,3.0,0.0,0.0
2000-08-08,28.33,71.67,17.96,7.01,0.0,0.0
2000-08-15,37.13,62.87,17.01,8.89,0.0,0.0
2000-08-22,54.5,45.5,16.29,6.38,0.71,0.0
2000-08-29,28.71,71.29,23.38,11.76,3.14,0.0
2000-09-05,27.53,72.47,37.54,15.32,3.24,0.66
2000-09-12,27.53,72.47,43.74,22.64,8.3,0.66
2000-09-19,25.83,74.17,43.74,32.38,8.3,0.66
2000-09-26,22.1,77.9,48.48,33.32,8.3,0.0
