Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,74.9,25.1,0.0,0.0,0.0,0.0
2000-01-11,42.98,57.02,0.0,0.0,0.0,0.0
2000-01-18,33.1,66.9,0.0,0.0,0.0,0.0
2000-01-25,45.5,54.5,0.0,0.0,0.0,0.0
2000-02-01,53.33,46.67,0.0,0.0,0.0,0.0
2000-02-08,62.58,37.42,0.0,0.0,0.0,0.0
2000-02-15,68.88,31.12,0.0,0.0,0.0,0.0
2000-02-22,84.5,15.5,0.0,0.0,0.0,0.0
2000-02-29,87.32,12.68,0.0,0.0,0.0,0.0
2000-03-07,91.2,8.8,0.0,0.0,0.0,0.0
2000-03-14,99.24,0.76,0.0,0.0,0.0,0.0
2000-03-21,99.24,0.76,0.0,0.0,0.0,0.0
2000-03-28,99.54,0.46,0.0,0.0,0.0,0.0
2000-04-04,99.94,0.06,0.0,0.0,0.0,0.0
2000-04-11,99.92,0.08,0.0,0.0,0.0,0.0
2000-04-18,98.79,1.21,0.0,0.0,0.0,0.0
2000-04-25,98.81,1.19,0.0,0.0,0.0,0.0
2000-05-02,98.58,1.42,0.0,0.0,0.0,0.0
2000-05-09,98.58,1.42,0.0,0.0,0.0,0.0
2000-05-16,96.42,3.58,0.01,0.0,0.0,0.0
2000-05-23,96.9,3.1,0.01,0.0,0.0,0.0
2000-05-30,97.13,2.87,0.02,0.0,0.0,0.0
2000-06-06,83.57,16.43,0.0,0.0,0.0,0.0
2000-06-13,64.21,35.79,0.32,0.0,0.0,0.0
2000-06-20,49.81,50.19,0.32,0.0,0.0,0.0
2000-06-27,45.28,54.72,0.53,0.0,0.0,0.0
2000-07-04,46.32,53.68,10.04,0.0,0.0,0.0
2000-07-11,46.33,53.67,19.68,0.0,0.0,0.0
2000-07-18,35.4,64.6,17.5,0.0,0.0,0.0
2000-07-25,34.55,65.45,18.99,0.0,0.0,0.0
2000-08-01,28.53,71.47,23.02,0.0,0.0,0.0
2000-08-08,24.08,75.92,28.24,0.0,0.0,0.0
2000-08-15,24.08,75.92,42.42,3.61,0.0,0.0
2000-08-22,25.33,74.67,47.61,4.16,0.0,0.0
2000-08-29,25.08,74.92,49.38,6.56,0.0,0.0
2000-09-05,29.77,70.23,38.08,3.7,0.0,0.0
2000-09-12,29.77,70.23,38.07,3.7,0.0,0.0
2000-09-19,29.77,70.23,38.07,3.7,0.0,0.0
2000-09-26,29.78,70.22,38.54,1.85,0.0,0.0
2000-10-03,29.78,70.22,39.12,1.85,0.0,0.0
2000-10-10,29.72,70.28,39.19,2.04,0.0,0.0
2000-10-17,36.94,63.06,16.26,1.29,0.0,0.0
2000-10-24,30.9,69.1,25.26,0.0,0.0,0.0
2000-10-31,49.59,50.41,6.04,0.0,0.0,0.0
2000-11-07,64.24,35.76,0.0,0.0,0.0,0.0
2000-11-14,81.05,18.95,0.0,0.0,0.0,0.0
2000-11-21,81.97,18.03,0.0,0.0,0.0,0.0
2000-11-28,81.97,18.03,0.0,0.0,0.0,0.0
