Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,55.58,44.42,0.0,0.0,0.0,0.0
2000-01-11,0.86,99.14,0.0,0.0,0.0,0.0
2000-01-18,0.23,99.77,0.0,0.0,0.0,0.0
2000-01-25,0.11,99.89,0.0,0.0,0.0,0.0
2000-02-01,0.22,99.78,0.0,0.0,0.0,0.0
2000-02-08,1.75,98.25,0.0,0.0,0.0,0.0
2000-02-15,1.89,98.11,20.15,0.0,0.0,0.0
2000-02-22,33.25,66.75,20.15,0.0,0.0,0.0
2000-02-29,43.62,56.38,19.74,0.0,0.0,0.0
2000-03-07,52.86,47.14,17.96,0.0,0.0,0.0
2000-03-14,75.53,24.47,4.31,0.0,0.0,0.0
2000-03-21,75.53,24.47,4.3,0.0,0.0,0.0
2000-03-28,76.4,23.6,4.02,0.0,0.0,0.0
2000-04-04,77.44,22.56,7.04,0.0,0.0,0.0
2000-04-11,77.44,22.56,7.28,0.0,0.0,0.0
2000-04-18,75.6,24.4,5.38,0.0,0.0,0.0
2000-04-25,80.18,19.82,5.38,0.0,0.0,0.0
2000-05-02,74.31,25.69,11.63,0.0,0.0,0.0
2000-05-09,73.27,26.73,13.28,0.0,0.0,0.0
2000-05-16,61.91,38.09,17.51,3.34,0.0,0.0
2000-05-23,61.56,38.44,17.51,3.34,0.0,0.0
2000-05-30,61.6,38.4,21.23,3.34,0.0,0.0
2000-06-06,56.43,43.57,26.13,3.34,0.0,0.0
2000-06-13,57.16,42.84,26.76,3.34,0.0,0.0
2000-06-20,56.7,43.3,26.76,3.33,0.0,0.0
2000-06-27,56.7,43.3,27.19,4.0,0.0,0.0
2000-07-04,74.63,25.37,0.0,0.0,0.0,0.0
2000-07-11,74.55,25.45,0.0,0.0,0.0,0.0
2000-07-18,49.07,50.93,0.0,0.0,0.0,0.0
2000-07-25,27.24,72.76,2.73,0.0,0.0,0.0
2000-08-01,27.24,72.76,3.91,0.0,0.0,0.0
2000-08-08,20.84,79.16,9.31,0.0,0.0,0.0
2000-08-15,21.69,78.31,19.64,4.44,0.0,0.0
2000-08-22,23.95,76.05,19.81,3.48,0.0,0.0
2000-08-29,26.24,73.76,16.27,0.97,0.0,0.0
2000-09-05,50.32,49.68,2.79,0.22,0.0,0.0
2000-09-12,50.32,49.68,2.79,0.22,0.0,0.0
2000-09-19,50.32,49.68,2.79,0.22,0.0,0.0
2000-09-26,43.66,56.34,6.26,0.22,0.0,0.0
2000-10-03,36.5,63.5,14.75,0.22,0.0,0.0
2000-10-10,36.5,63.5,14.71,2.22,0.0,0.0
2000-10-17,47.12,52.88,9.73,0.22,0.0,0.0
2000-10-24,53.43,46.57,1.72,0.0,0.0,0.0
2000-10-31,91.12,8.88,0.0,0.0,0.0,0.0
2000-11-07,92.69,7.31,0.0,0.0,0.0,0.0
