Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,86.83,13.17,0.0,0.0,0.0,0.0
2000-01-11,87.17,12.83,0.0,0.0,0.0,0.0
2000-01-18,92.51,7.49,0.0,0.0,0.0,0.0
2000-01-25,89.22,10.78,0.0,0.0,0.0,0.0
2000-02-01,95.27,4.73,0.0,0.0,0.0,0.0
2000-02-08,99.16,0.84,0.0,0.0,0.0,0.0
2000-02-15,99.16,0.84,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,98.73,1.27,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,91.18,8.82,0.0,0.0,0.0,0.0
2001-01-09,47.02,52.98,0.0,0.0,0.0,0.0
2001-01-16,71.17,28.83,0.0,0.0,0.0,0.0
2001-01-23,44.67,55.33,0.0,0.0,0.0,0.0
2001-01-30,62.58,37.42,0.0,0.0,0.0,0.0
2001-02-06,33.99,66.01,0.0,0.0,0.0,0.0
2001-02-13,30.21,69.79,26.58,0.0,0.0,0.0
2001-02-20,37.76,62.24,24.87,0.0,0.0,0.0
2001-02-27,56.06,43.94,27.55,0.0,0.0,0.0
2001-03-06,56.06,43.94,27.56,0.0,0.0,0.0
2001-03-13,56.06,43.94,27.56,0.0,0.0,0.0
2001-03-20,57.35,42.65,33.43,15.78,0.0,0.0
2001-03-27,57.35,42.65,33.43,15.78,0.0,0.0
2001-04-03,56.44,43.56,36.81,29.39,15.19,0.0
2001-04-10,56.43,43.57,36.81,29.39,15.19,0.0
2001-04-17,35.14,64.86,38.95,29.39,15.19,0.0
2001-04-24,35.14,64.86,38.95,29.39,15.19,0.0
2001-05-01,35.14,64.86,38.95,29.39,15.19,0.0
2001-05-08,35.14,64.86,38.95,29.39,12.24,0.0
2001-05-15,35.14,64.86,38.95,29.39,12.73,0.0
2001-05-22,35.14,64.86,38.95,29.39,12.73,0.0
2001-05-29,35.14,64.86,38.95,31.7,12.49,0.0
2001-06-05,26.37,73.63,54.37,31.7,12.73,0.0
2001-06-12,26.37,73.63,58.03,31.69,12.73,0.0
2001-06-19,24.38,75.62,58.59,46.19,16.02,0.0
2001-06-26,24.38,75.62,58.1,46.2,19.05,0.0
2001-07-03,25.2,74.8,58.1,46.2,24.84,0.0
2001-07-10,25.14,74.86,58.1,45.19,28.29,0.0
2001-07-17,23.47,76.53,58.19,46.86,28.29,0.0
2001-07-24,23.73,76.27,58.19,46.86,28.29,0.0
2001-07-31,23.73,76.27,58.19,46.86,28.29,0.0
2001-08-07,23.73,76.27,58.19,46.86,28.29,0.0
2001-08-14,23.73,76.27,58.19,46.86,28.29,0.0
2001-08-21,24.64,75.36,62.9,52.74,35.63,0.0
2001-08-28,23.39,76.61,63.22,53.1,37.55,0.0
2001-09-04,23.39,76.61,63.22,53.1,37.55,0.0
2001-09-11,6.74,93.26,76.78,60.49,38.42,0.0
2001-09-18,6.74,93.26,76.78,60.49,38.42,0.0
2001-09-25,6.74,93.26,76.78,60.49,38.42,0.0
2001-10-02,6.74,93.26,76.78,60.42,38.42,0.0
2001-10-09,6.74,93.26,76.78,60.49,38.42,0.0
2001-10-16,1.19,98.81,76.78,60.49,38.42,0.0
2001-10-23,1.19,98.81,76.78,60.49,38.42,0.0
2001-10-30,1.19,98.81,76.78,59.59,36.89,0.0
2001-11-06,1.19,98.81,76.78,59.59,36.89,0.0
2001-11-13,1.19,98.81,76.78,59.59,36.89,0.0
2001-11-20,1.19,98.81,76.78,51.48,36.89,0.0
2001-11-27,14.04,85.96,70.47,51.48,34.08,0.0
2001-12-04,27.22,72.78,51.0,35.99,8.54,0.0
2001-12-11,36.12,63.88,34.95,31.22,7.78,0.0
2001-12-18,47.79,52.21,34.95,23.73,0.0,0.0
2001-12-25,66.13,33.87,23.78,8.8,0.0,0.0
2002-01-01,72.03,27.97,22.39,9.15,0.0,0.0
2002-01-08,76.28,23.72,0.3,0.0,0.0,0.0
2002-01-15,76.25,23.75,0.16,0.0,0.0,0.0
2002-01-22,76.46,23.54,0.02,0.0,0.0,0.0
2002-01-29,81.52,18.48,0.0,0.0,0.0,0.0
2002-02-05,83.34,16.66,0.0,0.0,0.0,0.0
2002-02-12,81.47,18.53,0.0,0.0,0.0,0.0
2002-02-19,82.77,17.23,0.0,0.0,0.0,0.0
2002-02-26,83.31,16.69,0.0,0.0,0.0,0.0
2002-03-05,81.92,18.08,0.0,0.0,0.0,0.0
2002-03-12,82.33,17.67,0.0,0.0,0.0,0.0
2002-03-19,99.92,0.08,0.0,0.0,0.0,0.0
2002-03-26,99.81,0.19,0.0,0.0,0.0,0.0
2002-04-02,99.86,0.14,0.0,0.0,0.0,0.0
2002-04-09,99.71,0.29,0.0,0.0,0.0,0.0
2002-04-16,99.44,0.56,0.0,0.0,0.0,0.0
2002-04-23,99.41,0.59,0.0,0.0,0.0,0.0
2002-04-30,99.43,0.57,0.0,0.0,0.0,0.0
2002-05-07,99.56,0.44,0.0,0.0,0.0,0.0
2002-05-14,99.51,0.49,0.0,0.0,0.0,0.0
2002-05-21,99.45,0.55,0.0,0.0,0.0,0.0
2002-05-28,59.07,40.93,0.0,0.0,0.0,0.0
2002-06-04,60.17,39.83,0.0,0.0,0.0,0.0
2002-06-11,59.53,40.47,0.0,0.0,0.0,0.0
2002-06-18,59.77,40.23,0.52,0.0,0.0,0.0
2002-06-25,38.79,61.21,1.47,0.0,0.0,0.0
2002-07-02,36.31,63.69,1.36,0.0,0.0,0.0
2002-07-09,28.76,71.24,1.48,0.0,0.0,0.0
2002-07-16,29.29,70.71,2.9,0.0,0.0,0.0
2002-07-23,24.16,75.84,7.52,0.0,0.0,0.0
2002-07-30,22.08,77.92,6.81,0.0,0.0,0.0
2002-08-06,23.24,76.76,22.56,0.0,0.0,0.0
2002-08-13,22.13,77.87,23.08,0.0,0.0,0.0
2002-08-20,22.18,77.82,22.91,0.0,0.0,0.0
2002-08-27,20.71,79.29,22.91,0.0,0.0,0.0
2002-09-03,23.39,76.61,22.93,0.0,0.0,0.0
2002-09-10,22.65,77.35,21.72,0.0,0.0,0.0
2002-09-17,25.48,74.52,20.84,0.0,0.0,0.0
2002-09-24,24.3,75.7,21.39,0.0,0.0,0.0
2002-10-01,26.97,73.03,20.54,0.0,0.0,0.0
2002-10-08,0.0,100.0,51.87,0.0,0.0,0.0
2002-10-15,0.0,100.0,51.41,0.0,0.0,0.0
2002-10-22,0.0,100.0,58.52,0.0,0.0,0.0
2002-10-29,0.0,100.0,62.69,0.0,0.0,0.0
2002-11-05,0.0,100.0,57.95,13.93,0.0,0.0
2002-11-12,17.42,82.58,3.78,0.0,0.0,0.0
2002-11-19,18.68,81.32,3.13,0.0,0.0,0.0
2002-11-26,16.63,83.37,4.34,0.0,0.0,0.0
2002-12-03,18.83,81.17,2.9,0.0,0.0,0.0
2002-12-10,0.0,100.0,9.89,0.21,0.0,0.0
2002-12-17,72.24,27.76,6.89,0.0,0.0,0.0
2002-12-24,77.45,22.55,5.91,0.0,0.0,0.0
2002-12-31,97.74,2.26,0.0,0.0,0.0,0.0
2003-01-07,95.34,4.66,0.0,0.0,0.0,0.0
2003-01-14,100.0,0.0,0.0,0.0,0.0,0.0
2003-01-21,100.0,0.0,0.0,0.0,0.0,0.0
2003-01-28,96.44,3.56,0.0,0.0,0.0,0.0
2003-02-04,86.95,13.05,0.07,0.0,0.0,0.0
2003-02-11,84.11,15.89,8.5,0.0,0.0,0.0
2003-02-18,85.35,14.65,7.47,0.0,0.0,0.0
2003-02-25,85.95,14.05,7.64,0.0,0.0,0.0
2003-03-04,85.16,14.84,8.84,0.62,0.0,0.0
2003-03-11,83.69,16.31,8.66,0.73,0.0,0.0
2003-03-18,85.03,14.97,8.37,0.58,0.0,0.0
2003-03-25,85.08,14.92,7.69,0.49,0.0,0.0
2003-04-01,64.24,35.76,8.29,0.51,0.0,0.0
2003-04-08,63.25,36.75,8.01,0.3,0.0,0.0
2003-04-15,84.31,15.69,6.96,1.62,0.0,0.0
