Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,89.41,57.46,0.0,0.0
2000-01-11,0.0,100.0,90.49,57.46,0.0,0.0
2000-01-18,0.0,100.0,90.49,57.46,0.0,0.0
2000-01-25,0.0,100.0,90.49,57.46,0.0,0.0
2000-02-01,0.0,100.0,92.97,62.6,0.0,0.0
2000-02-08,0.0,100.0,92.97,62.6,0.0,0.0
2000-02-15,0.0,100.0,97.49,62.6,0.0,0.0
2000-02-22,0.0,100.0,97.54,64.3,0.0,0.0
2000-02-29,0.0,100.0,97.66,80.01,0.0,0.0
2000-03-07,0.0,100.0,97.98,80.44,0.0,0.0
2000-03-14,0.0,100.0,97.98,80.44,0.0,0.0
2000-03-21,0.0,100.0,93.26,77.66,0.0,0.0
2000-03-28,3.19,96.81,79.3,44.66,0.0,0.0
2000-04-04,0.81,99.19,68.57,46.01,0.0,0.0
2000-04-11,4.61,95.39,70.25,45.5,0.0,0.0
2000-04-18,5.75,94.25,67.2,47.06,0.0,0.0
2000-04-25,6.85,93.15,66.02,47.06,6.7,0.0
2000-05-02,7.76,92.24,66.02,37.29,7.05,0.0
2000-05-09,7.86,92.14,63.13,37.29,7.05,0.0
2000-05-16,7.48,92.52,63.46,37.89,8.47,0.0
2000-05-23,12.49,87.51,55.31,39.08,10.81,0.0
2000-05-30,12.65,87.35,65.57,39.07,13.16,0.0
2000-06-06,49.79,50.21,30.18,16.97,9.67,0.0
2000-06-13,50.65,49.35,30.18,16.97,9.67,0.0
2000-06-20,51.25,48.75,30.18,13.22,7.69,0.0
2000-06-27,39.84,60.16,29.84,1.71,0.0,0.0
2000-07-04,52.43,47.57,11.1,0.0,0.0,0.0
2000-07-11,43.24,56.76,11.1,1.61,0.0,0.0
2000-07-18,19.35,80.65,19.71,1.61,0.0,0.0
2000-07-25,19.34,80.66,24.68,3.9,0.0,0.0
2000-08-01,17.52,82.48,41.33,6.16,0.0,0.0
2000-08-08,12.59,87.41,45.78,12.63,0.0,0.0
2000-08-15,6.41,93.59,53.15,22.8,0.0,0.0
2000-08-22,7.27,92.73,59.92,25.0,5.54,0.0
2000-08-29,0.0,100.0,76.36,42.32,9.51,0.0
2000-09-05,0.0,100.0,100.0,76.58,23.25,3.28
2000-09-12,0.0,100.0,100.0,98.71,24.04,3.28
2000-09-19,0.0,100.0,100.0,97.67,24.03,3.28
2000-09-26,0.0,100.0,100.0,97.67,18.31,0.0
2000-10-03,0.0,100.0,100.0,97.67,18.31,0.0
2000-10-10,0.0,100.0,100.0,85.64,27.33,0.0
2000-10-17,0.0,100.0,100.0,67.63,24.32,0.0
2000-10-24,0.0,100.0,100.0,27.24,12.69,0.0
2000-10-31,0.0,100.0,99.32,31.03,7.13,0.0
2000-11-07,63.25,36.75,17.73,3.15,0.0,0.0
2000-11-14,58.9,41.1,17.73,3.59,0.0,0.0
2000-11-21,58.06,41.94,14.74,2.77,0.0,0.0
2000-11-28,58.97,41.03,14.74,2.77,0.0,0.0
2000-12-05,68.27,31.73,14.74,2.77,0.0,0.0
2000-12-12,68.27,31.73,14.74,2.77,0.0,0.0
2000-12-19,68.27,31.73,15.0,2.77,0.0,0.0
2000-12-26,68.67,31.33,11.97,2.77,0.0,0.0
2001-01-02,68.67,31.33,11.97,2.77,0.0,0.0
2001-01-09,68.67,31.33,11.97,2.77,0.0,0.0
2001-01-16,68.67,31.33,11.97,2.77,0.0,0.0
2001-01-23,76.39,23.61,11.97,3.27,0.0,0.0
2001-01-30,77.52,22.48,9.33,4.49,0.0,0.0
2001-02-06,78.24,21.76,10.12,4.49,0.0,0.0
2001-02-13,78.24,21.76,10.12,4.49,0.0,0.0
2001-02-20,79.48,20.52,10.12,4.49,0.0,0.0
2001-02-27,79.48,20.52,10.12,4.49,0.0,0.0
2001-03-06,79.48,20.52,10.12,4.49,0.0,0.0
2001-03-13,79.47,20.53,10.12,4.49,0.0,0.0
2001-03-20,79.47,20.53,10.12,4.49,0.0,0.0
2001-03-27,83.96,16.04,10.12,4.49,0.0,0.0
2001-04-03,83.96,16.04,10.12,4.49,0.0,0.0
2001-04-10,83.32,16.68,10.12,4.49,0.0,0.0
2001-04-17,79.58,20.42,9.92,3.69,0.0,0.0
2001-04-24,79.58,20.42,9.92,3.69,0.0,0.0
2001-05-01,76.22,23.78,10.34,3.69,0.0,0.0
2001-05-08,81.37,18.63,10.34,3.69,0.0,0.0
2001-05-15,81.38,18.62,10.34,3.69,0.0,0.0
2001-05-22,81.13,18.87,10.34,3.69,0.0,0.0
2001-05-29,81.13,18.87,9.63,3.69,0.0,0.0
2001-06-05,81.59,18.41,9.63,3.69,0.0,0.0
2001-06-12,65.61,34.39,10.04,3.69,0.0,0.0
2001-06-19,47.16,52.84,14.4,5.95,0.0,0.0
2001-06-26,24.09,75.91,15.96,5.95,0.0,0.0
2001-07-03,39.59,60.41,30.24,7.19,0.0,0.0
2001-07-10,36.66,63.34,33.57,7.19,0.0,0.0
2001-07-17,19.71,80.29,39.84,18.19,0.0,0.0
2001-07-24,9.5,90.5,54.57,22.55,2.26,0.0
2001-07-31,5.08,94.92,77.11,32.27,6.03,0.0
2001-08-07,2.83,97.17,91.35,44.05,7.09,0.0
2001-08-14,6.15,93.85,79.9,32.14,2.71,0.0
2001-08-21,8.21,91.79,72.3,22.76,2.06,0.0
2001-08-28,7.78,92.22,62.56,16.11,2.35,0.0
2001-09-04,24.93,75.07,35.35,6.1,0.0,0.0
2001-09-11,48.22,51.78,30.95,5.84,0.0,0.0
2001-09-18,51.91,48.09,25.74,5.84,0.0,0.0
2001-09-25,61.24,38.76,23.35,5.84,0.0,0.0
2001-10-02,61.24,38.76,23.35,5.84,0.0,0.0
2001-10-09,59.52,40.48,23.35,5.84,0.0,0.0
2001-10-16,58.99,41.01,23.35,6.01,0.0,0.0
2001-10-23,54.29,45.71,35.09,9.4,0.0,0.0
2001-10-30,52.32,47.68,35.1,9.7,0.0,0.0
2001-11-06,52.32,47.68,37.14,16.47,3.39,0.0
