Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,77.36,54.04,0.0,0.0
2000-01-11,0.0,100.0,78.81,54.04,0.0,0.0
2000-01-18,0.0,100.0,78.81,54.04,0.0,0.0
2000-01-25,0.0,100.0,78.81,54.04,0.0,0.0
2000-02-01,0.0,100.0,95.84,58.15,0.0,0.0
2000-02-08,0.0,100.0,95.84,58.15,0.0,0.0
2000-02-15,0.0,100.0,95.84,58.15,0.0,0.0
2000-02-22,0.0,100.0,100.0,60.85,0.0,0.0
2000-02-29,0.0,100.0,100.0,100.0,0.0,0.0
2000-03-07,0.0,100.0,100.0,100.0,0.0,0.0
2000-03-14,0.0,100.0,100.0,100.0,0.0,0.0
2000-03-21,0.0,100.0,100.0,82.49,0.0,0.0
2000-03-28,0.0,100.0,100.0,66.09,0.0,0.0
2000-04-04,0.0,100.0,100.0,68.84,0.0,0.0
2000-04-11,0.0,100.0,100.0,65.45,0.0,0.0
2000-04-18,0.0,100.0,100.0,49.08,0.0,0.0
2000-04-25,0.0,100.0,97.48,49.64,0.0,0.0
2000-05-02,0.0,100.0,97.64,24.64,0.0,0.0
2000-05-09,0.0,100.0,74.0,23.31,0.0,0.0
2000-05-16,0.0,100.0,74.0,23.31,0.0,0.0
2000-05-23,54.51,45.49,20.43,0.0,0.0,0.0
2000-05-30,63.4,36.6,19.25,0.0,0.0,0.0
2000-06-06,71.43,28.57,17.76,0.0,0.0,0.0
2000-06-13,71.24,28.76,17.76,0.0,0.0,0.0
2000-06-20,72.58,27.42,17.76,0.0,0.0,0.0
2000-06-27,71.11,28.89,20.78,0.0,0.0,0.0
2000-07-04,59.94,40.06,27.1,0.0,0.0,0.0
2000-07-11,38.01,61.99,27.1,0.0,0.0,0.0
2000-07-18,1.16,98.84,48.22,0.0,0.0,0.0
2000-07-25,1.16,98.84,80.58,13.23,0.0,0.0
2000-08-01,0.0,100.0,82.14,22.99,0.0,0.0
2000-08-08,0.0,100.0,81.3,22.99,0.0,0.0
2000-08-15,0.0,100.0,81.3,22.99,0.0,0.0
2000-08-22,0.0,100.0,82.96,33.35,0.0,0.0
2000-08-29,0.0,100.0,89.68,39.02,7.73,0.0
2000-09-05,0.0,100.0,100.0,78.62,19.04,0.0
2000-09-12,0.0,100.0,100.0,83.39,19.51,0.0
2000-09-19,0.0,100.0,100.0,77.77,0.0,0.0
2000-09-26,0.0,100.0,100.0,57.77,0.0,0.0
2000-10-03,0.0,100.0,100.0,57.77,0.0,0.0
2000-10-10,0.0,100.0,100.0,9.08,0.0,0.0
2000-10-17,0.0,100.0,100.0,46.6,0.0,0.0
2000-10-24,0.0,100.0,100.0,14.53,0.0,0.0
2000-10-31,0.0,100.0,100.0,22.67,0.09,0.0
2000-11-07,45.41,54.59,25.93,2.01,0.0,0.0
2000-11-14,44.82,55.18,33.57,1.75,0.0,0.0
2000-11-21,64.5,35.5,14.74,0.0,0.0,0.0
2000-11-28,69.54,30.46,14.74,0.0,0.0,0.0
2000-12-05,74.65,25.35,14.74,0.0,0.0,0.0
2000-12-12,74.65,25.35,14.74,0.0,0.0,0.0
2000-12-19,74.65,25.35,14.74,0.0,0.0,0.0
2000-12-26,74.65,25.35,14.74,0.0,0.0,0.0
2001-01-02,74.65,25.35,14.74,0.0,0.0,0.0
2001-01-09,74.65,25.35,14.74,0.0,0.0,0.0
2001-01-16,74.65,25.35,14.74,0.0,0.0,0.0
2001-01-23,75.9,24.1,14.74,0.0,0.0,0.0
2001-01-30,75.9,24.1,14.74,0.0,0.0,0.0
2001-02-06,84.94,15.06,0.0,0.0,0.0,0.0
2001-02-13,84.94,15.06,0.0,0.0,0.0,0.0
2001-02-20,83.96,16.04,0.0,0.0,0.0,0.0
2001-02-27,79.49,20.51,0.0,0.0,0.0,0.0
2001-03-06,77.96,22.04,7.2,0.0,0.0,0.0
2001-03-13,77.51,22.49,7.2,0.0,0.0,0.0
2001-03-20,77.51,22.49,7.2,0.0,0.0,0.0
2001-03-27,77.51,22.49,7.2,0.0,0.0,0.0
2001-04-03,79.21,20.79,7.2,0.0,0.0,0.0
2001-04-10,75.71,24.29,12.33,0.0,0.0,0.0
2001-04-17,70.74,29.26,14.73,0.0,0.0,0.0
2001-04-24,70.74,29.26,14.73,0.0,0.0,0.0
2001-05-01,72.17,27.83,6.43,0.0,0.0,0.0
2001-05-08,72.13,27.87,6.97,0.0,0.0,0.0
2001-05-15,72.13,27.87,12.41,0.0,0.0,0.0
2001-05-22,69.77,30.23,12.41,7.15,0.0,0.0
2001-05-29,69.77,30.23,12.41,7.15,0.0,0.0
2001-06-05,70.04,29.96,12.41,7.15,0.0,0.0
2001-06-12,73.65,26.35,13.65,9.15,0.0,0.0
2001-06-19,62.78,37.22,16.05,0.0,0.0,0.0
2001-06-26,45.29,54.71,16.0,0.0,0.0,0.0
2001-07-03,63.08,36.92,16.0,0.0,0.0,0.0
2001-07-10,63.08,36.92,16.0,0.0,0.0,0.0
2001-07-17,45.93,54.07,16.0,0.0,0.0,0.0
2001-07-24,37.17,62.83,20.17,0.0,0.0,0.0
2001-07-31,37.08,62.92,37.4,0.0,0.0,0.0
2001-08-07,28.96,71.04,41.34,0.0,0.0,0.0
2001-08-14,32.36,67.64,35.56,0.0,0.0,0.0
2001-08-21,32.36,67.64,39.18,21.8,0.0,0.0
2001-08-28,24.65,75.35,46.47,26.11,0.0,0.0
2001-09-04,72.03,27.97,13.73,0.0,0.0,0.0
2001-09-11,81.57,18.43,14.31,0.0,0.0,0.0
2001-09-18,81.57,18.43,14.46,0.0,0.0,0.0
2001-09-25,81.57,18.43,14.46,0.0,0.0,0.0
2001-10-02,81.57,18.43,14.46,0.0,0.0,0.0
2001-10-09,81.57,18.43,14.46,0.0,0.0,0.0
2001-10-16,75.8,24.2,14.46,0.0,0.0,0.0
2001-10-23,72.89,27.11,20.07,11.07,0.0,0.0
2001-10-30,70.22,29.78,20.07,11.07,0.0,0.0
2001-11-06,70.22,29.78,22.28,11.52,0.0,0.0
2001-11-13,70.22,29.78,22.28,11.39,0.0,0.0
2001-11-20,74.18,25.82,14.93,8.41,0.0,0.0
2001-11-27,74.18,25.82,13.73,0.0,0.0,0.0
2001-12-04,83.97,16.03,9.7,0.0,0.0,0.0
2001-12-11,83.97,16.03,8.52,0.0,0.0,0.0
2001-12-18,83.96,16.04,8.52,0.0,0.0,0.0
2001-12-25,83.96,16.04,8.52,0.0,0.0,0.0
2002-01-01,83.76,16.24,8.35,0.0,0.0,0.0
2002-01-08,83.86,16.14,7.71,0.0,0.0,0.0
2002-01-15,83.74,16.26,7.91,0.0,0.0,0.0
2002-01-22,83.43,16.57,7.92,0.0,0.0,0.0
2002-01-29,82.97,17.03,7.94,0.0,0.0,0.0
2002-02-05,82.97,17.03,0.0,0.0,0.0,0.0
2002-02-12,83.21,16.79,6.99,0.0,0.0,0.0
2002-02-19,83.27,16.73,7.66,0.0,0.0,0.0
2002-02-26,68.54,31.46,7.9,0.0,0.0,0.0
2002-03-05,57.2,42.8,17.83,6.26,0.0,0.0
2002-03-12,45.04,54.96,21.0,7.31,0.0,0.0
2002-03-19,45.83,54.17,23.5,6.36,0.0,0.0
2002-03-26,45.16,54.84,26.26,6.67,0.0,0.0
2002-04-02,46.09,53.91,35.86,5.61,0.0,0.0
2002-04-09,56.87,43.13,31.61,11.04,0.0,0.0
2002-04-16,57.07,42.93,30.59,9.67,0.0,0.0
2002-04-23,33.96,66.04,30.68,19.35,13.49,0.0
2002-04-30,33.86,66.14,31.09,20.34,13.86,0.0
2002-05-07,0.79,99.21,34.94,23.58,14.01,0.0
2002-05-14,0.0,100.0,95.05,34.35,22.05,0.0
2002-05-21,0.0,100.0,95.36,34.99,22.95,0.0
2002-05-28,0.0,100.0,97.59,34.88,22.29,0.0
2002-06-04,0.07,99.93,75.61,31.97,18.52,0.0
2002-06-11,0.0,100.0,88.72,31.54,18.05,0.0
2002-06-18,2.5,97.5,76.92,35.75,19.62,0.0
2002-06-25,2.31,97.69,67.85,45.5,33.63,5.28
2002-07-02,24.04,75.96,41.87,37.54,31.0,5.1
2002-07-09,30.44,69.56,30.23,22.17,11.51,0.0
2002-07-16,64.96,35.04,27.46,6.69,4.95,0.0
2002-07-23,64.98,35.02,28.39,8.38,5.34,0.0
2002-07-30,66.16,33.84,27.77,10.01,6.21,0.0
2002-08-06,66.39,33.61,29.21,9.63,7.05,0.0
2002-08-13,65.87,34.13,28.5,9.14,6.02,0.0
2002-08-20,71.24,28.76,19.92,9.58,6.62,0.0
2002-08-27,70.65,29.35,19.75,9.12,5.77,0.0
2002-09-03,69.91,30.09,20.11,11.12,6.38,0.0
2002-09-10,81.58,18.42,14.91,5.01,0.0,0.0
2002-09-17,84.41,15.59,5.87,1.94,0.0,0.0
2002-09-24,84.4,15.6,6.31,0.0,0.0,0.0
2002-10-01,85.05,14.95,7.18,0.0,0.0,0.0
2002-10-08,82.33,17.67,7.94,0.0,0.0,0.0
2002-10-15,82.22,17.78,8.04,0.0,0.0,0.0
2002-10-22,82.7,17.3,0.0,0.0,0.0,0.0
2002-10-29,100.0,0.0,0.0,0.0,0.0,0.0
2002-11-05,100.0,0.0,0.0,0.0,0.0,0.0
2002-11-12,100.0,0.0,0.0,0.0,0.0,0.0
2002-11-19,100.0,0.0,0.0,0.0,0.0,0.0
2002-11-26,100.0,0.0,0.0,0.0,0.0,0.0
2002-12-03,100.0,0.0,0.0,0.0,0.0,0.0
2002-12-10,100.0,0.0,0.0,0.0,0.0,0.0
2002-12-17,100.0,0.0,0.0,0.0,0.0,0.0
2002-12-24,100.0,0.0,0.0,0.0,0.0,0.0
2002-12-31,100.0,0.0,0.0,0.0,0.0,0.0
2003-01-07,100.0,0.0,0.0,0.0,0.0,0.0
2003-01-14,100.0,0.0,0.0,0.0,0.0,0.0
2003-01-21,100.0,0.0,0.0,0.0,0.0,0.0
2003-01-28,100.0,0.0,0.0,0.0,0.0,0.0
2003-02-04,100.0,0.0,0.0,0.0,0.0,0.0
2003-02-11,100.0,0.0,0.0,0.0,0.0,0.0
2003-02-18,100.0,0.0,0.0,0.0,0.0,0.0
2003-02-25,100.0,0.0,0.0,0.0,0.0,0.0
2003-03-04,100.0,0.0,0.0,0.0,0.0,0.0
2003-03-11,100.0,0.0,0.0,0.0,0.0,0.0
2003-03-18,100.0,0.0,0.0,0.0,0.0,0.0
2003-03-25,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-08,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-15,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-22,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-29,39.26,60.74,0.0,0.0,0.0,0.0
2003-05-06,39.14,60.86,0.0,0.0,0.0,0.0
2003-05-13,36.19,63.81,11.59,0.0,0.0,0.0
2003-05-20,0.0,100.0,57.57,0.0,0.0,0.0
2003-05-27,0.0,100.0,58.4,0.0,0.0,0.0
2003-06-03,0.0,100.0,76.4,25.43,0.0,0.0
2003-06-10,0.0,100.0,76.12,49.75,0.0,0.0
2003-06-17,0.0,100.0,71.99,29.34,0.0,0.0
2003-06-24,1.21,98.79,65.03,27.35,0.0,0.0
2003-07-01,15.06,84.94,54.68,7.61,0.0,0.0
2003-07-08,49.21,50.79,14.35,0.0,0.0,0.0
2003-07-15,59.71,40.29,0.0,0.0,0.0,0.0
2003-07-22,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-29,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-05,95.69,4.31,0.0,0.0,0.0,0.0
2003-08-12,95.77,4.23,0.0,0.0,0.0,0.0
2003-08-19,99.78,0.22,0.0,0.0,0.0,0.0
2003-08-26,99.76,0.24,0.0,0.0,0.0,0.0
2003-09-02,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-09,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-16,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-23,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-30,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-07,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-14,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-21,99.11,0.89,0.0,0.0,0.0,0.0
2003-10-28,99.08,0.92,0.0,0.0,0.0,0.0
2003-11-04,98.72,1.28,0.0,0.0,0.0,0.0
2003-11-11,93.71,6.29,0.0,0.0,0.0,0.0
2003-11-18,99.97,0.03,0.0,0.0,0.0,0.0
2003-11-25,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-02,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-09,95.92,4.08,0.0,0.0,0.0,0.0
2003-12-16,96.02,3.98,0.0,0.0,0.0,0.0
2003-12-23,92.21,7.79,0.0,0.0,0.0,0.0
2003-12-30,91.62,8.38,0.0,0.0,0.0,0.0
2004-01-06,93.15,6.85,0.0,0.0,0.0,0.0
2004-01-13,95.54,4.46,0.0,0.0,0.0,0.0
2004-01-20,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-27,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-03,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-10,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-17,100.0,0.0,0.0,0.0,0.0,0.0
