Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,55.39,44.61,0.38,0.0,0.0,0.0
2000-01-11,54.44,45.56,1.15,0.01,0.0,0.0
2000-01-18,0.0,100.0,1.15,0.01,0.0,0.0
2000-01-25,0.0,100.0,0.69,0.0,0.0,0.0
2000-02-01,0.0,100.0,1.01,0.01,0.0,0.0
2000-02-08,0.0,100.0,1.13,0.02,0.0,0.0
2000-02-15,0.0,100.0,1.13,0.02,0.0,0.0
2000-02-22,0.0,100.0,2.44,0.0,0.0,0.0
2000-02-29,43.55,56.45,3.9,0.0,0.0,0.0
2000-03-07,47.38,52.62,4.08,0.15,0.0,0.0
2000-03-14,51.57,48.43,4.08,0.15,0.0,0.0
2000-03-21,58.44,41.56,0.67,0.0,0.0,0.0
2000-03-28,43.44,56.56,0.42,0.0,0.0,0.0
2000-04-04,7.97,92.03,36.95,0.0,0.0,0.0
2000-04-11,7.97,92.03,56.53,0.0,0.0,0.0
2000-04-18,9.84,90.16,54.1,0.0,0.0,0.0
2000-04-25,2.92,97.08,58.43,10.78,0.0,0.0
2000-05-02,0.0,100.0,87.96,28.01,0.0,0.0
2000-05-09,8.17,91.83,65.33,21.03,0.0,0.0
2000-05-16,8.17,91.83,65.33,21.03,0.0,0.0
2000-05-23,10.59,89.41,68.46,21.1,0.0,0.0
2000-05-30,41.24,58.76,12.96,6.81,0.0,0.0
2000-06-06,31.75,68.25,17.19,9.99,0.0,0.0
2000-06-13,35.35,64.65,19.23,11.46,1.51,0.0
2000-06-20,81.55,18.45,13.68,7.69,0.0,0.0
2000-06-27,81.55,18.45,13.32,5.27,0.0,0.0
2000-07-04,89.37,10.63,2.8,0.0,0.0,0.0
2000-07-11,89.37,10.63,2.8,0.0,0.0,0.0
2000-07-18,75.09,24.91,0.0,0.0,0.0,0.0
2000-07-25,71.73,28.27,0.22,0.0,0.0,0.0
2000-08-01,69.1,30.9,0.22,0.0,0.0,0.0
2000-08-08,54.24,45.76,0.22,0.0,0.0,0.0
2000-08-15,38.76,61.24,13.53,0.03,0.0,0.0
2000-08-22,32.29,67.71,29.93,1.04,0.0,0.0
2000-08-29,10.61,89.39,39.48,5.64,0.38,0.0
2000-09-05,0.24,99.76,78.25,34.39,1.91,0.0
2000-09-12,0.0,100.0,94.05,55.45,1.91,0.0
2000-09-19,0.0,100.0,100.0,73.89,11.56,0.0
2000-09-26,0.0,100.0,88.03,57.0,15.76,0.0
2000-10-03,0.0,100.0,97.81,57.04,15.76,0.0
2000-10-10,0.0,100.0,97.81,44.01,2.48,0.0
2000-10-17,0.0,100.0,92.02,27.23,2.59,0.0
2000-10-24,3.96,96.04,84.75,28.69,10.86,0.02
2000-10-31,3.15,96.85,85.66,21.19,7.13,0.33
2000-11-07,35.94,64.06,16.55,1.09,0.0,0.0
2000-11-14,63.29,36.71,15.89,4.12,0.04,0.0
2000-11-21,74.39,25.61,5.0,1.41,0.0,0.0
2000-11-28,89.43,10.57,0.0,0.0,0.0,0.0
2000-12-05,89.43,10.57,0.0,0.0,0.0,0.0
2000-12-12,89.18,10.82,0.0,0.0,0.0,0.0
2000-12-19,87.8,12.2,0.0,0.0,0.0,0.0
