Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,59.26,40.74,0.2,0.0,0.0,0.0
2000-01-11,64.31,35.69,0.5,0.0,0.0,0.0
2000-01-18,0.0,100.0,0.5,0.0,0.0,0.0
2000-01-25,0.0,100.0,0.5,0.0,0.0,0.0
2000-02-01,0.06,99.94,8.41,0.0,0.0,0.0
2000-02-08,0.06,99.94,8.41,0.0,0.0,0.0
2000-02-15,0.06,99.94,10.35,0.0,0.0,0.0
2000-02-22,0.06,99.94,10.4,0.0,0.0,0.0
2000-02-29,34.88,65.12,32.87,0.0,0.0,0.0
2000-03-07,44.52,55.48,17.07,0.0,0.0,0.0
2000-03-14,55.43,44.57,17.59,0.0,0.0,0.0
2000-03-21,62.15,37.85,17.31,0.15,0.0,0.0
2000-03-28,86.73,13.27,0.04,0.0,0.0,0.0
2000-04-04,88.56,11.44,0.0,0.0,0.0,0.0
2000-04-11,89.07,10.93,0.0,0.0,0.0,0.0
2000-04-18,89.76,10.24,0.0,0.0,0.0,0.0
2000-04-25,90.07,9.93,0.0,0.0,0.0,0.0
2000-05-02,89.04,10.96,0.0,0.0,0.0,0.0
2000-05-09,97.8,2.2,0.0,0.0,0.0,0.0
2000-05-16,97.8,2.2,0.0,0.0,0.0,0.0
2000-05-23,92.97,7.03,0.0,0.0,0.0,0.0
2000-05-30,96.61,3.39,0.35,0.0,0.0,0.0
2000-06-06,85.92,14.08,0.0,0.0,0.0,0.0
2000-06-13,88.25,11.75,0.0,0.0,0.0,0.0
2000-06-20,86.39,13.61,0.41,0.0,0.0,0.0
2000-06-27,81.53,18.47,0.64,0.0,0.0,0.0
2000-07-04,81.99,18.01,1.82,0.0,0.0,0.0
2000-07-11,81.86,18.14,1.84,0.0,0.0,0.0
2000-07-18,85.68,14.32,0.01,0.0,0.0,0.0
2000-07-25,92.59,7.41,0.0,0.0,0.0,0.0
2000-08-01,92.59,7.41,0.0,0.0,0.0,0.0
2000-08-08,92.85,7.15,0.0,0.0,0.0,0.0
2000-08-15,86.95,13.05,0.0,0.0,0.0,0.0
2000-08-22,85.1,14.9,0.82,0.0,0.0,0.0
2000-08-29,42.47,57.53,5.29,0.0,0.0,0.0
2000-09-05,3.19,96.81,41.84,5.66,0.0,0.0
2000-09-12,3.19,96.81,89.97,32.32,0.0,0.0
2000-09-19,0.0,100.0,89.97,46.92,0.0,0.0
2000-09-26,0.0,100.0,86.83,47.7,0.0,0.0
2000-10-03,0.0,100.0,99.99,84.09,0.0,0.0
2000-10-10,0.0,100.0,99.99,83.3,0.66,0.0
2000-10-17,0.0,100.0,100.0,61.42,1.87,0.0
2000-10-24,0.0,100.0,63.6,10.2,1.86,0.0
2000-10-31,40.3,59.7,15.83,4.7,0.0,0.0
2000-11-07,92.69,7.31,0.09,0.0,0.0,0.0
2000-11-14,92.94,7.06,0.04,0.0,0.0,0.0
2000-11-21,93.69,6.31,0.09,0.0,0.0,0.0
2000-11-28,94.31,5.69,0.09,0.0,0.0,0.0
2000-12-05,94.88,5.12,0.14,0.0,0.0,0.0
2000-12-12,94.68,5.32,0.14,0.0,0.0,0.0
2000-12-19,94.68,5.32,0.22,0.0,0.0,0.0
2000-12-26,96.56,3.44,0.13,0.0,0.0,0.0
2001-01-02,96.56,3.44,0.13,0.0,0.0,0.0
2001-01-09,96.97,3.03,0.13,0.0,0.0,0.0
2001-01-16,96.97,3.03,0.13,0.0,0.0,0.0
