Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,39.03,60.97,51.07,6.75,0.0,0.0
2000-01-11,31.05,68.95,45.26,5.52,0.0,0.0
2000-01-18,31.01,68.99,45.21,5.52,0.0,0.0
2000-01-25,20.94,79.06,40.78,5.52,0.0,0.0
2000-02-01,22.12,77.88,38.77,5.08,0.0,0.0
2000-02-08,22.12,77.88,39.43,7.3,0.0,0.0
2000-02-15,23.22,76.78,39.43,6.37,0.0,0.0
2000-02-22,45.12,54.88,28.79,5.91,0.0,0.0
2000-02-29,47.92,52.08,28.08,6.09,0.0,0.0
2000-03-07,40.94,59.06,32.86,7.77,0.0,0.0
2000-03-14,41.67,58.33,33.27,8.24,0.0,0.0
2000-03-21,39.94,60.06,33.28,7.56,0.0,0.0
2000-03-28,39.65,60.35,28.96,5.82,0.0,0.0
2000-04-04,36.1,63.9,22.32,7.74,0.0,0.0
2000-04-11,52.75,47.25,26.19,8.01,0.0,0.0
2000-04-18,52.1,47.9,26.76,9.53,0.0,0.0
2000-04-25,55.21,44.79,18.19,2.84,0.0,0.0
2000-05-02,53.83,46.17,19.07,3.74,0.0,0.0
2000-05-09,55.48,44.52,18.74,3.01,0.0,0.0
2000-05-16,45.66,54.34,21.25,3.54,0.0,0.0
2000-05-23,60.13,39.87,5.86,0.06,0.0,0.0
2000-05-30,65.96,34.04,6.24,0.0,0.0,0.0
2000-06-06,67.13,32.87,5.86,0.0,0.0,0.0
2000-06-13,48.71,51.29,8.72,1.22,0.0,0.0
2000-06-20,64.92,35.08,7.39,1.15,0.0,0.0
2000-06-27,68.1,31.9,13.02,1.9,0.0,0.0
2000-07-04,76.51,23.49,8.85,1.57,0.11,0.0
2000-07-11,77.13,22.87,11.65,2.88,0.69,0.0
2000-07-18,70.17,29.83,16.14,5.13,1.48,0.0
2000-07-25,71.97,28.03,15.82,7.13,2.93,0.0
2000-08-01,74.66,25.34,15.47,6.33,2.18,0.0
2000-08-08,81.04,18.96,11.74,5.64,1.82,0.0
2000-08-15,83.06,16.94,10.33,4.54,1.77,0.0
2000-08-22,81.94,18.06,11.78,5.07,2.35,0.52
2000-08-29,82.28,17.72,11.78,5.12,2.68,0.52
2000-09-05,83.77,16.23,10.05,5.27,2.32,0.52
2000-09-12,83.74,16.26,10.88,6.97,2.86,0.75
2000-09-19,82.68,17.32,10.88,6.97,2.86,0.67
2000-09-26,85.94,14.06,8.41,5.11,1.69,0.25
2000-10-03,81.5,18.5,8.41,5.12,1.69,0.25
2000-10-10,80.45,19.55,11.6,5.12,1.75,0.13
2000-10-17,71.91,28.09,17.06,7.53,4.22,0.0
2000-10-24,58.05,41.95,20.15,11.94,5.04,1.14
2000-10-31,51.93,48.07,22.81,15.65,8.36,2.31
2000-11-07,55.16,44.84,22.65,15.87,12.39,1.21
2000-11-14,68.99,31.01,20.39,13.74,3.65,0.0
2000-11-21,69.8,30.2,19.8,14.13,2.85,0.0
2000-11-28,57.51,42.49,19.74,14.11,0.78,0.0
2000-12-05,56.78,43.22,22.76,15.18,0.78,0.0
2000-12-12,57.28,42.72,25.61,16.18,2.15,0.0
2000-12-19,68.46,31.54,16.21,8.31,0.98,0.0
2000-12-26,70.02,29.98,15.11,8.49,0.89,0.0
2001-01-02,71.78,28.22,15.11,8.49,0.99,0.0
2001-01-09,71.77,28.23,17.05,12.08,3.37,0.0
2001-01-16,70.21,29.79,17.05,12.08,3.37,0.0
2001-01-23,49.66,50.34,14.93,8.34,0.0,0.0
2001-01-30,58.26,41.74,14.75,6.37,0.0,0.0
2001-02-06,59.64,40.36,14.85,6.5,0.48,0.0
2001-02-13,62.63,37.37,15.73,5.83,1.21,0.0
2001-02-20,79.95,20.05,7.12,4.63,2.07,0.0
