Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,8.12,91.88,39.79,7.57,0.0,0.0
2000-01-11,6.64,93.36,48.48,11.38,0.0,0.0
2000-01-18,6.2,93.8,49.09,15.38,0.0,0.0
2000-01-25,6.2,93.8,49.93,13.24,0.0,0.0
2000-02-01,6.2,93.8,69.85,13.51,0.0,0.0
2000-02-08,6.2,93.8,71.34,18.09,0.0,0.0
2000-02-15,6.2,93.8,71.34,18.09,0.0,0.0
2000-02-22,6.3,93.7,69.97,17.84,0.0,0.0
2000-02-29,5.17,94.83,71.72,21.95,0.0,0.0
2000-03-07,5.17,94.83,73.21,26.94,0.0,0.0
2000-03-14,9.23,90.77,64.24,31.95,0.0,0.0
2000-03-21,9.34,90.66,61.44,28.2,0.0,0.0
2000-03-28,10.68,89.32,58.46,21.56,0.0,0.0
2000-04-04,5.96,94.04,52.73,27.7,0.0,0.0
2000-04-11,19.68,80.32,49.58,25.38,0.0,0.0
2000-04-18,16.12,83.88,51.94,26.01,0.0,0.0
2000-04-25,21.33,78.67,43.45,22.02,2.41,0.0
2000-05-02,19.04,80.96,44.75,22.68,3.64,0.0
2000-05-09,20.87,79.13,40.45,18.33,3.64,0.0
2000-05-16,17.71,82.29,48.63,23.32,3.96,0.0
2000-05-23,42.37,57.63,30.25,16.72,3.96,0.0
2000-05-30,57.2,42.8,22.39,14.33,4.1,2.21
2000-06-06,64.97,35.03,19.2,13.02,4.06,2.44
2000-06-13,59.81,40.19,24.38,13.19,4.33,2.66
2000-06-20,69.09,30.91,19.04,12.33,4.05,2.66
2000-06-27,73.6,26.4,12.99,7.72,3.93,2.66
2000-07-04,83.84,16.16,10.21,6.25,3.16,0.0
2000-07-11,77.92,22.08,12.24,5.74,3.16,0.0
2000-07-18,69.04,30.96,20.0,7.0,3.85,0.57
2000-07-25,67.51,32.49,23.42,10.36,4.36,2.33
2000-08-01,68.67,31.33,22.29,10.8,4.36,2.33
2000-08-08,69.12,30.88,22.11,10.8,4.32,2.33
2000-08-15,66.83,33.17,25.62,13.62,5.48,1.7
2000-08-22,66.95,33.05,26.75,17.7,8.2,2.82
2000-08-29,67.05,32.95,28.07,20.38,13.35,2.82
2000-09-05,61.47,38.53,31.22,26.7,19.47,4.24
2000-09-12,60.63,39.37,32.2,31.2,21.66,1.57
2000-09-19,48.86,51.14,36.97,32.39,21.01,0.22
2000-09-26,53.49,46.51,33.78,30.52,21.12,0.17
2000-10-03,48.97,51.03,35.95,30.52,21.12,0.17
2000-10-10,49.3,50.7,37.3,27.47,11.29,0.0
2000-10-17,45.84,54.16,40.56,28.2,18.74,0.0
2000-10-24,37.92,62.08,42.86,29.44,23.59,3.38
