Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,45.61,1.53,0.0,0.0,0.0,0.0
2000-01-11,42.59,4.55,0.0,0.0,0.0,0.0
2000-01-18,42.49,4.65,0.0,0.0,0.0,0.0
2000-01-25,44.64,2.51,0.0,0.0,0.0,0.0
2000-02-01,45.41,1.74,0.0,0.0,0.0,0.0
2000-02-08,45.41,1.74,0.0,0.0,0.0,0.0
2000-02-15,45.41,1.74,0.0,0.0,0.0,0.0
2000-02-22,47.15,0.0,0.0,0.0,0.0,0.0
2000-02-29,45.32,1.83,0.0,0.0,0.0,0.0
2000-03-07,45.02,2.13,0.0,0.0,0.0,0.0
2000-03-14,43.98,3.16,0.0,0.0,0.0,0.0
2000-03-21,43.1,4.04,0.0,0.0,0.0,0.0
2000-03-28,44.33,2.81,0.0,0.0,0.0,0.0
2000-04-04,42.94,4.2,0.0,0.0,0.0,0.0
2000-04-11,43.68,3.47,0.0,0.0,0.0,0.0
2000-04-18,44.93,2.21,0.0,0.0,0.0,0.0
2000-04-25,44.53,2.62,0.0,0.0,0.0,0.0
2000-05-02,44.53,2.62,0.0,0.0,0.0,0.0
2000-05-09,44.37,2.77,0.0,0.0,0.0,0.0
2000-05-16,44.37,2.77,0.0,0.0,0.0,0.0
2000-05-23,44.5,2.65,0.0,0.0,0.0,0.0
2000-05-30,47.15,0.0,0.0,0.0,0.0,0.0
2000-06-06,47.15,0.0,0.0,0.0,0.0,0.0
2000-06-13,47.12,0.03,0.0,0.0,0.0,0.0
2000-06-20,47.12,0.02,0.0,0.0,0.0,0.0
2000-06-27,46.33,0.82,0.01,0.0,0.0,0.0
2000-07-04,47.14,0.01,0.0,0.0,0.0,0.0
2000-07-11,47.15,0.0,0.0,0.0,0.0,0.0
2000-07-18,47.15,0.0,0.0,0.0,0.0,0.0
2000-07-25,47.15,0.0,0.0,0.0,0.0,0.0
2000-08-01,47.15,0.0,0.0,0.0,0.0,0.0
2000-08-08,47.15,0.0,0.0,0.0,0.0,0.0
2000-08-15,47.15,0.0,0.0,0.0,0.0,0.0
2000-08-22,47.15,0.0,0.0,0.0,0.0,0.0
2000-08-29,47.15,0.0,0.0,0.0,0.0,0.0
2000-09-05,47.15,0.0,0.0,0.0,0.0,0.0
2000-09-12,47.15,0.0,0.0,0.0,0.0,0.0
2000-09-19,47.15,0.0,0.0,0.0,0.0,0.0
2000-09-26,47.15,0.0,0.0,0.0,0.0,0.0
2000-10-03,40.7,6.45,0.0,0.0,0.0,0.0
2000-10-10,42.47,4.68,0.0,0.0,0.0,0.0
2000-10-17,47.12,0.03,0.0,0.0,0.0,0.0
2000-10-24,45.26,1.89,0.0,0.0,0.0,0.0
2000-10-31,37.28,9.86,0.12,0.0,0.0,0.0
2000-11-07,26.38,20.77,0.43,0.0,0.0,0.0
2000-11-14,38.68,8.47,0.43,0.0,0.0,0.0
2000-11-21,39.06,8.08,0.08,0.0,0.0,0.0
2000-11-28,41.32,5.83,0.1,0.0,0.0,0.0
2000-12-05,40.7,6.45,0.27,0.0,0.0,0.0
2000-12-12,38.95,8.2,0.28,0.0,0.0,0.0
2000-12-19,46.51,0.64,0.01,0.0,0.0,0.0
2000-12-26,46.61,0.54,0.01,0.0,0.0,0.0
2001-01-02,46.61,0.54,0.01,0.0,0.0,0.0
2001-01-09,46.61,0.54,0.01,0.0,0.0,0.0
2001-01-16,46.45,0.69,0.01,0.0,0.0,0.0
2001-01-23,41.26,5.88,0.0,0.0,0.0,0.0
2001-01-30,40.58,6.56,0.0,0.0,0.0,0.0
2001-02-06,42.98,4.17,0.0,0.0,0.0,0.0
2001-02-13,42.22,4.93,0.2,0.0,0.0,0.0
2001-02-20,42.48,4.67,0.02,0.0,0.0,0.0
2001-02-27,42.39,4.76,0.02,0.0,0.0,0.0
2001-03-06,43.44,3.71,0.02,0.0,0.0,0.0
2001-03-13,43.04,4.11,0.02,0.0,0.0,0.0
2001-03-20,39.76,7.39,0.07,0.0,0.0,0.0
2001-03-27,41.05,6.09,0.01,0.0,0.0,0.0
2001-04-03,44.04,3.11,0.0,0.0,0.0,0.0
2001-04-10,44.97,2.17,0.0,0.0,0.0,0.0
2001-04-17,44.97,2.17,0.0,0.0,0.0,0.0
2001-04-24,44.12,3.03,0.0,0.0,0.0,0.0
2001-05-01,45.07,2.08,0.0,0.0,0.0,0.0
2001-05-08,6.23,40.92,1.59,0.04,0.0,0.0
2001-05-15,5.06,42.08,15.52,0.32,0.0,0.0
2001-05-22,4.37,42.77,23.14,0.0,0.0,0.0
2001-05-29,6.7,40.44,10.88,0.0,0.0,0.0
2001-06-05,30.54,16.61,2.25,0.0,0.0,0.0
2001-06-12,33.59,13.56,2.25,0.0,0.0,0.0
2001-06-19,36.84,10.31,1.83,0.0,0.0,0.0
2001-06-26,39.09,8.05,0.94,0.0,0.0,0.0
2001-07-03,35.15,12.0,0.94,0.0,0.0,0.0
2001-07-10,35.36,11.78,0.94,0.0,0.0,0.0
2001-07-17,35.72,11.42,0.68,0.0,0.0,0.0
2001-07-24,33.09,14.06,0.69,0.0,0.0,0.0
2001-07-31,30.84,16.3,0.69,0.0,0.0,0.0
2001-08-07,22.51,24.64,4.1,0.0,0.0,0.0
2001-08-14,22.86,24.29,9.27,0.09,0.0,0.0
2001-08-21,25.07,22.07,9.57,0.06,0.0,0.0
2001-08-28,20.38,26.76,13.06,4.62,0.0,0.0
2001-09-04,19.51,27.63,10.3,4.11,0.0,0.0
2001-09-11,16.43,30.72,14.64,4.78,0.0,0.0
2001-09-18,14.14,33.01,14.65,4.78,0.0,0.0
2001-09-25,22.95,24.2,12.25,4.5,0.0,0.0
2001-10-02,26.37,20.78,8.55,1.05,0.0,0.0
2001-10-09,20.5,26.65,10.97,1.05,0.0,0.0
2001-10-16,20.5,26.65,10.98,1.06,0.0,0.0
2001-10-23,5.59,41.56,13.29,1.24,0.0,0.0
2001-10-30,5.62,41.53,25.99,4.75,0.0,0.0
2001-11-06,4.98,42.17,31.39,7.09,0.0,0.0
2001-11-13,3.52,43.62,31.83,7.32,0.0,0.0
2001-11-20,3.52,43.62,37.69,10.2,0.0,0.0
2001-11-27,3.33,43.81,36.93,10.2,0.0,0.0
2001-12-04,3.33,43.81,35.73,14.78,0.0,0.0
2001-12-11,3.33,43.81,35.43,11.23,0.0,0.0
2001-12-18,3.33,43.81,34.97,19.46,5.34,0.0
2001-12-25,3.34,43.8,34.97,17.73,5.34,0.0
2002-01-01,3.34,43.8,35.22,18.01,5.26,0.0
2002-01-08,4.62,42.53,35.07,20.75,5.54,0.0
2002-01-15,4.77,42.37,35.51,20.05,3.29,0.0
2002-01-22,5.01,42.14,34.79,19.16,3.14,0.0
2002-01-29,0.41,46.73,37.08,23.32,3.28,0.0
2002-02-05,0.56,46.59,37.1,23.68,2.83,0.0
2002-02-12,0.64,46.5,39.47,29.88,2.97,0.0
2002-02-19,0.57,46.57,39.81,31.13,7.96,0.0
2002-02-26,0.61,46.53,40.0,33.39,8.92,0.0
2002-03-05,0.51,46.64,40.49,33.74,8.88,0.0
2002-03-12,0.5,46.65,40.04,33.58,13.8,0.0
2002-03-19,0.27,46.88,40.33,34.28,12.98,0.0
2002-03-26,0.26,46.89,40.39,33.99,12.82,0.0
2002-04-02,3.11,44.04,36.86,28.06,8.23,0.0
2002-04-09,2.92,44.22,37.08,28.77,9.09,0.0
2002-04-16,8.9,38.25,34.58,26.98,8.59,0.0
2002-04-23,8.34,38.81,33.83,23.69,7.32,0.0
2002-04-30,10.25,36.9,31.4,22.31,4.72,0.0
2002-05-07,10.26,36.89,31.11,21.0,2.63,0.0
2002-05-14,13.29,33.86,26.91,16.43,0.3,0.0
2002-05-21,15.93,31.22,18.83,7.89,0.31,0.0
2002-05-28,18.03,29.12,18.79,7.16,0.23,0.0
2002-06-04,18.94,28.21,15.21,6.43,0.75,0.0
2002-06-11,18.71,28.43,13.95,6.08,1.35,0.0
2002-06-18,21.19,25.96,11.65,5.23,1.63,0.0
2002-06-25,21.91,25.23,12.5,6.01,2.04,0.0
2002-07-02,22.49,24.66,12.36,5.97,2.14,0.0
2002-07-09,15.98,31.16,13.61,6.62,2.12,0.0
2002-07-16,15.32,31.83,13.98,6.56,2.02,0.0
2002-07-23,2.9,44.25,16.32,9.3,3.94,0.0
2002-07-30,3.53,43.62,18.74,8.97,4.52,0.29
2002-08-06,5.11,42.04,19.45,10.83,5.73,1.11
2002-08-13,4.66,42.49,20.66,11.05,6.04,1.09
2002-08-20,4.64,42.5,22.56,12.9,9.66,3.96
2002-08-27,8.85,38.3,28.21,12.74,9.47,3.58
2002-09-03,2.57,44.58,28.59,16.11,2.67,0.0
2002-09-10,0.0,47.15,36.45,19.95,3.38,0.0
2002-09-17,0.0,47.15,31.39,21.06,4.4,0.0
2002-09-24,2.72,44.43,30.46,20.22,6.01,0.0
2002-10-01,9.5,37.64,24.61,12.57,3.55,0.0
2002-10-08,8.91,38.24,24.39,15.59,6.84,0.99
2002-10-15,13.17,33.98,21.46,10.45,1.18,0.0
2002-10-22,18.85,28.29,17.35,7.46,0.0,0.0
2002-10-29,19.42,27.72,15.98,6.5,0.0,0.0
2002-11-05,22.35,24.79,11.32,1.08,0.0,0.0
2002-11-12,23.54,23.61,10.02,1.02,0.0,0.0
2002-11-19,30.34,16.8,4.61,1.03,0.0,0.0
2002-11-26,35.16,11.99,1.63,0.0,0.0,0.0
2002-12-03,35.65,11.5,1.35,0.0,0.0,0.0
2002-12-10,36.73,10.42,1.44,0.0,0.0,0.0
2002-12-17,39.72,7.43,1.37,0.0,0.0,0.0
