Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,66.23,33.77,10.47,5.45,0.0,0.0
2000-01-11,65.93,34.07,12.26,7.06,0.0,0.0
2000-01-18,62.23,37.77,15.81,7.06,0.0,0.0
2000-01-25,52.93,47.07,16.11,7.06,0.0,0.0
2000-02-01,62.07,37.93,18.36,8.14,0.0,0.0
2000-02-08,62.09,37.91,18.36,8.14,0.0,0.0
2000-02-15,62.09,37.91,18.36,8.14,0.0,0.0
2000-02-22,62.29,37.71,18.12,8.14,0.0,0.0
2000-02-29,63.34,36.66,15.88,8.14,0.0,0.0
2000-03-07,63.35,36.65,13.57,8.14,0.0,0.0
2000-03-14,71.16,28.84,12.73,8.23,0.0,0.0
2000-03-21,71.99,28.01,12.38,8.23,0.0,0.0
2000-03-28,71.83,28.17,11.53,7.63,0.0,0.0
2000-04-04,66.11,33.89,13.1,10.12,0.0,0.0
2000-04-11,61.44,38.56,14.74,8.86,0.0,0.0
2000-04-18,55.62,44.38,14.49,9.75,0.0,0.0
2000-04-25,61.62,38.38,14.44,9.04,0.0,0.0
2000-05-02,62.33,37.67,15.24,10.34,0.0,0.0
2000-05-09,61.33,38.67,15.04,10.23,0.0,0.0
2000-05-16,62.16,37.84,17.34,10.38,0.0,0.0
2000-05-23,63.6,36.4,18.37,10.46,1.16,0.0
2000-05-30,67.31,32.69,19.74,7.19,0.62,0.0
2000-06-06,68.25,31.75,16.59,7.61,2.1,0.0
2000-06-13,63.56,36.44,18.96,9.42,2.72,0.0
2000-06-20,62.28,37.72,19.17,10.2,1.41,0.0
2000-06-27,57.36,42.64,20.76,8.69,0.0,0.0
2000-07-04,48.83,51.17,22.78,6.8,0.97,0.0
2000-07-11,49.85,50.15,25.01,4.36,0.97,0.0
2000-07-18,47.05,52.95,26.23,4.12,0.83,0.0
2000-07-25,48.3,51.7,23.75,3.58,0.65,0.0
2000-08-01,49.34,50.66,24.45,7.24,0.65,0.0
2000-08-08,45.27,54.73,24.18,8.34,0.65,0.0
2000-08-15,43.46,56.54,26.21,12.13,0.85,0.0
2000-08-22,44.5,55.5,27.85,13.06,0.85,0.0
2000-08-29,37.01,62.99,32.9,13.5,1.6,0.0
2000-09-05,35.04,64.96,32.57,14.09,1.6,0.0
2000-09-12,38.56,61.44,35.12,17.25,2.3,0.0
2000-09-19,36.4,63.6,39.05,22.56,2.86,0.0
2000-09-26,36.32,63.68,35.63,21.0,2.18,0.0
2000-10-03,37.89,62.11,35.79,21.06,2.54,0.0
2000-10-10,41.63,58.37,34.9,20.12,2.42,0.0
2000-10-17,37.22,62.78,38.95,17.48,2.31,0.0
2000-10-24,34.4,65.6,39.35,17.73,3.19,0.0
2000-10-31,36.51,63.49,36.99,11.39,1.63,0.0
2000-11-07,50.87,49.13,17.99,7.15,0.51,0.0
2000-11-14,56.4,43.6,15.25,5.96,0.3,0.0
2000-11-21,56.61,43.39,15.87,5.72,0.3,0.0
2000-11-28,56.57,43.43,15.87,5.72,0.3,0.0
2000-12-05,59.53,40.47,15.98,5.4,0.3,0.0
2000-12-12,60.73,39.27,15.98,5.66,0.3,0.0
2000-12-19,62.35,37.65,15.41,5.91,0.3,0.0
2000-12-26,64.91,35.09,14.6,6.36,0.3,0.0
2001-01-02,64.91,35.09,14.67,6.36,0.29,0.0
2001-01-09,61.39,38.61,14.77,6.36,0.29,0.0
2001-01-16,61.43,38.57,14.77,4.76,0.29,0.0
2001-01-23,26.3,73.7,15.49,5.65,0.29,0.0
2001-01-30,34.86,65.14,14.44,5.01,0.0,0.0
2001-02-06,36.42,63.58,14.44,5.01,0.0,0.0
2001-02-13,38.46,61.54,48.92,4.48,0.0,0.0
2001-02-20,38.31,61.69,48.8,4.48,0.0,0.0
2001-02-27,36.66,63.34,48.7,4.48,0.0,0.0
2001-03-06,36.95,63.05,50.54,4.95,0.0,0.0
2001-03-13,35.59,64.41,50.22,23.29,0.0,0.0
2001-03-20,36.12,63.88,51.99,25.03,0.0,0.0
2001-03-27,36.12,63.88,51.99,25.03,0.0,0.0
2001-04-03,36.39,63.61,47.88,27.9,0.22,0.0
2001-04-10,38.43,61.57,48.05,27.9,0.22,0.0
2001-04-17,42.17,57.83,48.05,27.9,0.22,0.0
2001-04-24,44.0,56.0,48.05,27.9,0.22,0.0
2001-05-01,42.83,57.17,48.73,27.9,0.22,0.0
2001-05-08,43.31,56.69,48.79,27.9,0.19,0.0
2001-05-15,41.27,58.73,50.42,29.93,2.58,0.0
2001-05-22,42.81,57.19,50.28,29.93,2.58,0.0
2001-05-29,42.81,57.19,50.28,30.98,2.55,0.0
2001-06-05,44.53,55.47,49.66,30.84,2.36,0.0
2001-06-12,44.22,55.78,50.29,31.1,2.36,0.0
2001-06-19,44.68,55.32,47.82,35.66,1.88,0.0
2001-06-26,41.61,58.39,48.77,36.29,2.96,0.0
2001-07-03,36.59,63.41,51.22,40.52,5.0,0.0
2001-07-10,38.48,61.52,51.04,40.52,4.49,0.0
2001-07-17,39.61,60.39,49.98,39.84,4.7,0.0
2001-07-24,40.2,59.8,49.56,38.11,4.7,0.0
2001-07-31,41.63,58.37,50.0,38.67,9.7,0.0
2001-08-07,40.46,59.54,48.83,37.86,9.36,0.0
2001-08-14,40.32,59.68,50.02,40.22,9.51,0.0
2001-08-21,39.88,60.12,52.21,43.8,16.66,0.0
2001-08-28,37.76,62.24,52.49,46.12,20.93,0.0
2001-09-04,26.57,73.43,54.33,47.1,22.78,0.0
2001-09-11,24.93,75.07,53.77,47.79,24.36,0.0
2001-09-18,35.48,64.52,53.44,47.79,24.36,0.0
2001-09-25,36.97,63.03,53.44,47.79,24.43,0.0
2001-10-02,33.35,66.65,53.92,47.79,25.51,0.0
2001-10-09,31.03,68.97,53.92,47.79,26.89,0.0
2001-10-16,31.7,68.3,53.15,47.79,26.89,0.0
2001-10-23,28.53,71.47,53.15,47.79,26.89,0.0
2001-10-30,27.44,72.56,53.15,47.8,26.88,0.0
2001-11-06,27.39,72.61,53.15,47.8,26.88,0.0
2001-11-13,20.35,79.65,53.72,47.8,26.88,0.0
2001-11-20,20.15,79.85,53.28,47.92,26.88,0.0
2001-11-27,28.72,71.28,52.39,47.18,26.49,0.0
2001-12-04,28.31,71.69,55.48,45.38,20.98,0.0
2001-12-11,28.43,71.57,54.04,44.76,20.66,0.0
2001-12-18,30.24,69.76,54.04,44.32,19.38,0.0
2001-12-25,29.16,70.84,53.02,44.32,18.06,0.0
2002-01-01,27.4,72.6,53.12,44.08,18.52,0.0
2002-01-08,27.19,72.81,48.52,37.5,12.45,0.0
2002-01-15,25.17,74.83,46.16,31.83,11.79,0.0
2002-01-22,24.96,75.04,45.4,31.53,11.73,0.0
2002-01-29,26.7,73.3,42.38,27.73,10.69,0.0
2002-02-05,27.21,72.79,47.38,28.25,11.0,0.0
2002-02-12,30.69,69.31,46.61,28.23,10.97,0.0
2002-02-19,30.71,69.29,46.55,28.32,10.96,0.0
2002-02-26,25.95,74.05,48.19,29.69,11.07,0.0
2002-03-05,26.22,73.78,48.18,27.22,10.83,0.0
2002-03-12,25.75,74.25,44.88,27.5,10.47,0.0
2002-03-19,27.12,72.88,39.92,25.03,11.68,0.0
2002-03-26,24.44,75.56,41.35,24.63,11.41,0.0
2002-04-02,22.06,77.94,43.77,24.59,11.01,0.0
2002-04-09,22.07,77.93,47.12,25.01,11.94,0.0
2002-04-16,22.05,77.95,48.69,26.45,14.97,0.0
2002-04-23,26.19,73.81,48.13,29.9,14.74,0.0
2002-04-30,25.57,74.43,48.25,30.23,15.67,1.07
2002-05-07,25.51,74.49,50.74,32.57,15.55,2.35
2002-05-14,32.39,67.61,46.53,30.5,18.95,2.47
2002-05-21,35.07,64.93,41.44,28.74,18.8,2.33
2002-05-28,33.63,66.37,40.42,28.9,18.83,2.58
2002-06-04,34.38,65.62,42.83,26.5,15.77,2.45
2002-06-11,33.78,66.22,43.0,24.71,12.77,0.0
2002-06-18,31.74,68.26,50.07,30.43,13.7,0.0
2002-06-25,28.73,71.27,50.53,32.26,15.25,0.0
2002-07-02,22.19,77.81,57.32,38.71,17.76,1.02
2002-07-09,22.71,77.29,57.8,37.93,17.76,0.95
2002-07-16,21.5,78.5,61.73,41.65,17.89,0.96
2002-07-23,20.56,79.44,68.54,48.15,21.7,2.75
2002-07-30,17.22,82.78,68.18,50.8,31.56,7.34
2002-08-06,17.49,82.51,68.6,55.74,33.11,10.31
2002-08-13,20.5,79.5,64.26,51.89,33.2,10.26
2002-08-20,22.35,77.65,63.69,51.62,33.24,10.24
2002-08-27,22.99,77.01,62.03,49.58,32.38,9.63
2002-09-03,21.04,78.96,61.12,49.08,30.21,6.69
2002-09-10,19.68,80.32,63.7,47.54,27.73,3.67
2002-09-17,19.11,80.89,63.13,47.17,26.96,2.33
2002-09-24,19.19,80.81,63.75,47.13,26.45,2.21
2002-10-01,14.19,85.81,62.77,49.66,26.05,2.25
2002-10-08,10.89,89.11,64.87,48.46,23.13,0.61
2002-10-15,11.1,88.9,66.31,50.52,24.79,0.65
2002-10-22,8.64,91.36,66.37,50.75,25.2,0.62
2002-10-29,8.61,91.39,66.01,50.2,24.2,0.54
2002-11-05,6.72,93.28,74.39,52.51,23.49,0.51
2002-11-12,7.39,92.61,71.54,52.8,23.46,0.49
2002-11-19,6.33,93.67,72.05,52.76,23.43,0.52
2002-11-26,6.37,93.63,72.27,53.02,23.21,0.48
2002-12-03,6.27,93.73,72.25,54.28,23.16,0.43
2002-12-10,3.78,96.22,74.98,58.61,24.56,0.63
2002-12-17,5.85,94.15,76.37,58.7,25.22,0.6
2002-12-24,5.89,94.11,76.3,58.79,25.21,0.64
2002-12-31,7.82,92.18,74.94,58.93,26.72,0.62
2003-01-07,8.58,91.42,75.94,60.93,30.74,2.07
2003-01-14,8.58,91.42,77.24,64.12,35.67,5.3
2003-01-21,6.73,93.27,77.03,63.54,36.54,4.84
2003-01-28,6.33,93.67,77.76,63.37,35.76,5.05
2003-02-04,6.35,93.65,77.24,59.8,34.7,4.08
2003-02-11,3.04,96.96,78.24,60.66,34.46,4.23
2003-02-18,3.5,96.5,75.22,58.84,34.42,4.14
2003-02-25,3.56,96.44,74.54,59.36,33.9,4.13
2003-03-04,3.5,96.5,76.75,61.62,38.68,4.86
2003-03-11,6.03,93.97,74.92,60.95,38.05,3.73
2003-03-18,15.21,84.79,76.5,60.68,37.9,3.75
2003-03-25,15.56,84.44,75.05,56.23,30.46,2.36
2003-04-01,17.31,82.69,73.38,52.17,25.17,0.74
2003-04-08,19.37,80.63,69.75,49.08,22.32,0.0
2003-04-15,17.84,82.16,70.51,49.02,21.7,0.0
2003-04-22,19.01,80.99,69.62,48.3,21.44,0.0
2003-04-29,20.73,79.27,68.25,47.89,18.01,0.0
2003-05-06,25.6,74.4,63.7,34.94,9.65,0.0
2003-05-13,31.45,68.55,54.07,27.38,5.72,0.02
2003-05-20,32.93,67.07,50.77,26.58,5.36,0.01
2003-05-27,32.2,67.8,51.07,26.22,5.64,0.01
2003-06-03,29.82,70.18,49.14,25.12,5.48,0.01
2003-06-10,30.14,69.86,46.39,23.67,6.13,0.07
2003-06-17,30.71,69.29,44.86,22.6,6.17,0.08
2003-06-24,36.43,63.57,42.61,21.94,6.19,0.07
2003-07-01,29.79,70.21,36.15,22.24,7.07,0.04
2003-07-08,24.53,75.47,38.0,24.41,8.65,0.1
2003-07-15,16.67,83.33,46.46,27.64,9.14,0.08
2003-07-22,12.42,87.58,59.7,36.4,16.98,2.42
2003-07-29,11.47,88.53,81.78,45.03,18.69,3.15
2003-08-05,6.34,93.66,83.78,47.48,18.66,3.07
2003-08-12,6.28,93.72,83.68,50.83,19.98,3.11
2003-08-19,0.55,99.45,84.69,55.12,27.57,3.93
2003-08-26,0.28,99.72,91.2,61.03,32.09,4.11
2003-09-02,0.25,99.75,88.94,59.36,28.48,4.18
2003-09-09,0.26,99.74,89.01,64.82,31.62,5.55
2003-09-16,3.16,96.84,80.12,55.25,28.47,5.92
2003-09-23,2.7,97.3,80.55,54.55,27.17,5.42
2003-09-30,2.68,97.32,80.54,54.27,27.18,5.45
2003-10-07,2.67,97.33,84.02,56.49,27.53,5.51
2003-10-14,7.79,92.21,80.53,58.68,27.55,5.46
2003-10-21,7.48,92.52,79.6,59.42,27.42,5.56
2003-10-28,7.62,92.38,80.75,59.92,28.06,5.56
2003-11-04,8.4,91.6,79.12,58.43,28.58,5.67
2003-11-11,8.85,91.15,80.39,58.88,28.63,7.77
2003-11-18,8.59,91.41,80.41,58.95,26.56,7.35
2003-11-25,10.08,89.92,79.79,58.59,25.95,7.65
2003-12-02,9.89,90.11,79.7,58.8,25.11,7.62
2003-12-09,11.0,89.0,79.37,58.53,24.61,7.43
2003-12-16,12.73,87.27,79.27,57.69,25.5,7.61
2003-12-23,11.87,88.13,78.59,56.81,24.81,7.42
2003-12-30,12.1,87.9,76.33,53.96,24.02,6.47
2004-01-06,12.56,87.44,76.04,51.48,21.66,5.38
2004-01-13,12.28,87.72,69.58,47.9,20.21,3.46
2004-01-20,12.54,87.46,69.79,48.39,21.2,3.43
2004-01-27,12.58,87.42,67.55,47.96,21.2,3.43
2004-02-03,12.58,87.42,65.5,47.7,21.03,3.26
2004-02-10,15.72,84.28,63.47,47.1,19.58,2.72
2004-02-17,15.72,84.28,64.01,47.13,19.58,2.72
2004-02-24,15.7,84.3,64.01,47.13,20.63,2.72
2004-03-02,15.78,84.22,62.3,44.75,18.1,2.17
2004-03-09,19.39,80.61,60.54,44.79,17.78,2.02
2004-03-16,20.89,79.11,59.07,44.03,17.33,2.02
2004-03-23,20.89,79.11,60.28,44.32,18.18,2.02
2004-03-30,21.5,78.5,59.67,44.31,18.76,2.02
2004-04-06,21.5,78.5,59.98,44.6,18.82,2.02
2004-04-13,21.42,78.58,60.03,44.89,19.9,2.68
2004-04-20,21.31,78.69,63.48,46.24,21.96,2.75
2004-04-27,21.31,78.69,63.44,46.84,22.16,2.75
2004-05-04,20.4,79.6,63.38,48.49,27.7,3.69
2004-05-11,18.48,81.52,63.04,48.96,28.78,3.69
2004-05-18,19.24,80.76,61.53,46.98,28.02,3.71
2004-05-25,24.87,75.13,62.46,45.02,28.03,2.6
2004-06-01,28.38,71.62,56.89,44.93,27.62,2.6
2004-06-08,30.3,69.7,55.64,43.22,26.81,1.75
2004-06-15,33.8,66.2,55.03,42.6,26.39,4.4
2004-06-22,34.51,65.49,54.06,41.55,21.67,4.19
2004-06-29,31.78,68.22,53.84,41.35,21.31,4.19
2004-07-06,31.54,68.46,54.42,40.67,19.54,4.1
2004-07-13,30.93,69.07,54.42,40.67,19.54,4.1
2004-07-20,26.2,73.8,54.28,40.24,19.54,4.98
2004-07-27,27.98,72.02,54.62,39.42,19.43,4.78
2004-08-03,24.01,75.99,55.29,40.02,20.24,4.78
2004-08-10,24.83,75.17,54.65,38.05,19.57,4.33
2004-08-17,22.04,77.96,56.38,39.06,20.59,4.33
2004-08-24,30.51,69.49,53.07,37.09,19.61,4.3
2004-08-31,35.85,64.15,50.28,35.84,19.26,4.21
2004-09-07,37.11,62.89,49.52,34.98,16.85,4.12
2004-09-14,36.07,63.93,49.34,34.11,15.17,3.28
2004-09-21,36.73,63.27,48.23,33.39,15.17,3.16
2004-09-28,41.06,58.94,47.56,32.73,15.12,3.16
2004-10-05,37.4,62.6,47.52,31.93,14.2,3.16
2004-10-12,37.57,62.43,47.33,31.93,14.2,3.4
2004-10-19,36.65,63.35,46.92,30.25,14.11,3.28
2004-10-26,37.13,62.87,46.92,30.15,13.92,3.28
2004-11-02,38.43,61.57,46.34,29.9,13.92,3.28
2004-11-09,37.34,62.66,46.34,29.9,13.92,3.28
2004-11-16,38.03,61.97,46.34,29.69,13.92,3.28
2004-11-23,36.47,63.53,46.34,29.69,13.92,3.28
2004-11-30,36.78,63.22,45.45,29.32,13.56,3.28
2004-12-07,36.39,63.61,45.69,29.32,13.56,3.28
2004-12-14,39.43,60.57,45.47,28.23,12.66,3.14
2004-12-21,35.44,64.56,46.51,30.22,13.2,3.25
2004-12-28,32.82,67.18,46.51,30.77,13.72,3.25
2005-01-04,32.82,67.18,46.51,30.77,13.47,2.65
2005-01-11,18.22,81.78,47.05,30.54,13.47,2.65
2005-01-18,19.09,80.91,48.01,30.54,14.02,2.65
2005-01-25,18.57,81.43,49.51,31.01,14.81,2.65
