Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,99.37,0.63,0.63,0.0,0.0,0.0
2000-01-11,99.37,0.63,0.63,0.0,0.0,0.0
2000-01-18,99.37,0.63,0.63,0.0,0.0,0.0
2000-01-25,99.37,0.63,0.63,0.0,0.0,0.0
2000-02-01,99.44,0.56,0.56,0.0,0.0,0.0
2000-02-08,99.44,0.56,0.56,0.0,0.0,0.0
2000-02-15,99.52,0.48,0.48,0.0,0.0,0.0
2000-02-22,99.52,0.48,0.48,0.0,0.0,0.0
2000-02-29,99.51,0.49,0.49,0.0,0.0,0.0
2000-03-07,99.43,0.57,0.57,0.0,0.0,0.0
2000-03-14,99.31,0.69,0.51,0.0,0.0,0.0
2000-03-21,98.92,1.08,0.63,0.0,0.0,0.0
2000-03-28,98.92,1.08,0.63,0.0,0.0,0.0
2000-04-04,99.21,0.79,0.63,0.0,0.0,0.0
2000-04-11,99.21,0.79,0.66,0.0,0.0,0.0
2000-04-18,99.23,0.77,0.77,0.0,0.0,0.0
2000-04-25,99.23,0.77,0.77,0.0,0.0,0.0
2000-05-02,99.23,0.77,0.77,0.0,0.0,0.0
2000-05-09,99.23,0.77,0.77,0.0,0.0,0.0
2000-05-16,99.23,0.77,0.77,0.24,0.0,0.0
2000-05-23,99.23,0.77,0.77,0.24,0.0,0.0
2000-05-30,99.23,0.77,0.77,0.24,0.0,0.0
2000-06-06,98.92,1.08,0.77,0.24,0.0,0.0
2000-06-13,98.92,1.08,0.82,0.61,0.2,0.0
2000-06-20,98.92,1.08,0.82,0.61,0.2,0.0
2000-06-27,91.41,8.59,0.82,0.61,0.2,0.0
2000-07-04,59.35,40.65,0.82,0.61,0.2,0.0
2000-07-11,55.75,44.25,0.82,0.61,0.2,0.0
2000-07-18,81.98,18.02,0.82,0.61,0.2,0.0
2000-07-25,90.9,9.1,0.8,0.57,0.15,0.0
2000-08-01,99.23,0.77,0.77,0.54,0.12,0.0
2000-08-08,99.23,0.77,0.77,0.54,0.12,0.0
2000-08-15,99.23,0.77,0.77,0.54,0.12,0.0
2000-08-22,99.35,0.65,0.65,0.51,0.12,0.0
2000-08-29,99.35,0.65,0.65,0.51,0.12,0.0
2000-09-05,99.35,0.65,0.65,0.51,0.11,0.0
2000-09-12,99.35,0.65,0.65,0.51,0.11,0.0
2000-09-19,99.34,0.66,0.66,0.3,0.0,0.0
2000-09-26,99.34,0.66,0.66,0.3,0.0,0.0
2000-10-03,99.39,0.61,0.4,0.19,0.0,0.0
2000-10-10,99.38,0.62,0.4,0.19,0.0,0.0
2000-10-17,99.38,0.62,0.4,0.22,0.0,0.0
2000-10-24,99.38,0.62,0.38,0.22,0.0,0.0
2000-10-31,99.38,0.62,0.38,0.22,0.0,0.0
2000-11-07,99.58,0.42,0.2,0.0,0.0,0.0
2000-11-14,99.58,0.42,0.2,0.0,0.0,0.0
2000-11-21,99.58,0.42,0.2,0.0,0.0,0.0
2000-11-28,99.58,0.42,0.2,0.0,0.0,0.0
2000-12-05,99.62,0.38,0.2,0.0,0.0,0.0
2000-12-12,99.69,0.31,0.05,0.0,0.0,0.0
2000-12-19,99.69,0.31,0.05,0.0,0.0,0.0
2000-12-26,99.69,0.31,0.05,0.0,0.0,0.0
2001-01-02,99.67,0.33,0.05,0.0,0.0,0.0
2001-01-09,98.97,1.03,0.07,0.04,0.0,0.0
2001-01-16,98.98,1.02,0.75,0.04,0.0,0.0
2001-01-23,98.98,1.02,0.84,0.04,0.0,0.0
2001-01-30,98.98,1.02,0.84,0.04,0.0,0.0
2001-02-06,98.97,1.03,0.85,0.47,0.0,0.0
2001-02-13,99.05,0.95,0.81,0.29,0.0,0.0
2001-02-20,99.05,0.95,0.81,0.29,0.0,0.0
2001-02-27,99.1,0.9,0.81,0.32,0.04,0.0
2001-03-06,99.1,0.9,0.82,0.32,0.04,0.0
2001-03-13,99.1,0.9,0.84,0.39,0.04,0.0
2001-03-20,99.1,0.9,0.44,0.32,0.04,0.0
2001-03-27,99.1,0.9,0.44,0.32,0.04,0.0
2001-04-03,99.58,0.42,0.42,0.07,0.04,0.0
2001-04-10,99.58,0.42,0.42,0.13,0.04,0.0
2001-04-17,99.6,0.4,0.4,0.13,0.04,0.0
2001-04-24,99.6,0.4,0.4,0.13,0.04,0.0
2001-05-01,99.6,0.4,0.4,0.13,0.04,0.0
2001-05-08,99.6,0.4,0.4,0.13,0.04,0.0
2001-05-15,99.45,0.55,0.48,0.29,0.04,0.0
2001-05-22,99.45,0.55,0.48,0.29,0.04,0.0
2001-05-29,99.45,0.55,0.48,0.29,0.04,0.0
2001-06-05,99.45,0.55,0.48,0.29,0.04,0.0
2001-06-12,99.28,0.72,0.33,0.15,0.01,0.0
2001-06-19,99.28,0.72,0.33,0.15,0.01,0.0
2001-06-26,99.28,0.72,0.33,0.15,0.0,0.0
2001-07-03,93.5,6.5,0.33,0.14,0.0,0.0
2001-07-10,97.07,2.93,0.4,0.14,0.0,0.0
2001-07-17,97.07,2.93,0.4,0.14,0.0,0.0
2001-07-24,97.05,2.95,0.5,0.14,0.0,0.0
2001-07-31,99.11,0.89,0.5,0.14,0.0,0.0
2001-08-07,99.11,0.89,0.5,0.14,0.0,0.0
2001-08-14,99.11,0.89,0.5,0.14,0.0,0.0
2001-08-21,99.25,0.75,0.31,0.1,0.0,0.0
2001-08-28,99.24,0.76,0.31,0.1,0.0,0.0
2001-09-04,99.26,0.74,0.31,0.1,0.0,0.0
2001-09-11,99.26,0.74,0.31,0.1,0.0,0.0
2001-09-18,99.14,0.86,0.31,0.1,0.0,0.0
2001-09-25,99.13,0.87,0.31,0.1,0.0,0.0
2001-10-02,99.13,0.87,0.31,0.1,0.0,0.0
2001-10-09,99.42,0.58,0.26,0.07,0.0,0.0
2001-10-16,99.42,0.58,0.25,0.07,0.0,0.0
2001-10-23,99.42,0.58,0.25,0.09,0.0,0.0
2001-10-30,99.42,0.58,0.25,0.13,0.0,0.0
2001-11-06,99.42,0.58,0.25,0.13,0.0,0.0
2001-11-13,99.42,0.58,0.25,0.13,0.0,0.0
2001-11-20,99.42,0.58,0.25,0.13,0.0,0.0
2001-11-27,99.42,0.58,0.25,0.13,0.0,0.0
2001-12-04,99.77,0.23,0.17,0.02,0.0,0.0
2001-12-11,99.77,0.23,0.17,0.02,0.0,0.0
2001-12-18,99.77,0.23,0.07,0.02,0.0,0.0
2001-12-25,99.77,0.23,0.07,0.02,0.0,0.0
2002-01-01,99.77,0.23,0.07,0.02,0.0,0.0
2002-01-08,99.76,0.24,0.07,0.02,0.0,0.0
2002-01-15,99.77,0.23,0.07,0.02,0.0,0.0
2002-01-22,99.79,0.21,0.06,0.0,0.0,0.0
2002-01-29,99.98,0.02,0.02,0.0,0.0,0.0
2002-02-05,99.98,0.02,0.02,0.0,0.0,0.0
2002-02-12,99.98,0.02,0.02,0.0,0.0,0.0
2002-02-19,99.98,0.02,0.02,0.0,0.0,0.0
2002-02-26,99.98,0.02,0.02,0.0,0.0,0.0
2002-03-05,99.98,0.02,0.02,0.0,0.0,0.0
2002-03-12,83.51,16.49,0.02,0.0,0.0,0.0
2002-03-19,83.23,16.77,0.02,0.0,0.0,0.0
2002-03-26,83.63,16.37,0.02,0.0,0.0,0.0
2002-04-02,86.31,13.69,0.02,0.0,0.0,0.0
2002-04-09,87.11,12.89,0.0,0.0,0.0,0.0
2002-04-16,78.19,21.81,0.0,0.0,0.0,0.0
2002-04-23,78.33,21.67,0.0,0.0,0.0,0.0
2002-04-30,83.66,16.34,0.0,0.0,0.0,0.0
2002-05-07,84.33,15.67,0.0,0.0,0.0,0.0
2002-05-14,84.35,15.65,0.0,0.0,0.0,0.0
2002-05-21,83.96,16.04,0.0,0.0,0.0,0.0
2002-05-28,87.11,12.89,4.88,0.0,0.0,0.0
2002-06-04,53.81,46.19,0.0,0.0,0.0,0.0
2002-06-11,56.23,43.77,0.0,0.0,0.0,0.0
2002-06-18,61.84,38.16,0.0,0.0,0.0,0.0
2002-06-25,61.37,38.63,0.0,0.0,0.0,0.0
2002-07-02,61.2,38.8,0.0,0.0,0.0,0.0
2002-07-09,61.51,38.49,0.0,0.0,0.0,0.0
2002-07-16,68.63,31.37,0.0,0.0,0.0,0.0
2002-07-23,69.07,30.93,0.0,0.0,0.0,0.0
2002-07-30,61.5,38.5,0.0,0.0,0.0,0.0
2002-08-06,47.48,52.52,0.0,0.0,0.0,0.0
2002-08-13,49.4,50.6,0.0,0.0,0.0,0.0
2002-08-20,59.64,40.36,0.0,0.0,0.0,0.0
2002-08-27,62.61,37.39,0.0,0.0,0.0,0.0
2002-09-03,74.26,25.74,0.0,0.0,0.0,0.0
2002-09-10,99.92,0.08,0.0,0.0,0.0,0.0
2002-09-17,99.92,0.08,0.0,0.0,0.0,0.0
2002-09-24,99.92,0.08,0.0,0.0,0.0,0.0
2002-10-01,99.87,0.13,0.0,0.0,0.0,0.0
2002-10-08,99.87,0.13,0.0,0.0,0.0,0.0
2002-10-15,99.88,0.12,0.02,0.0,0.0,0.0
2002-10-22,99.98,0.02,0.0,0.0,0.0,0.0
2002-10-29,99.98,0.02,0.0,0.0,0.0,0.0
2002-11-05,99.98,0.02,0.02,0.0,0.0,0.0
2002-11-12,99.98,0.02,0.02,0.0,0.0,0.0
2002-11-19,99.98,0.02,0.02,0.0,0.0,0.0
2002-11-26,99.98,0.02,0.02,0.0,0.0,0.0
2002-12-03,99.98,0.02,0.02,0.0,0.0,0.0
2002-12-10,99.69,0.31,0.02,0.0,0.0,0.0
2002-12-17,99.56,0.44,0.02,0.0,0.0,0.0
2002-12-24,99.57,0.43,0.06,0.0,0.0,0.0
2002-12-31,99.57,0.43,0.06,0.0,0.0,0.0
2003-01-07,98.92,1.08,0.16,0.0,0.0,0.0
2003-01-14,98.92,1.08,0.16,0.0,0.0,0.0
2003-01-21,98.92,1.08,0.14,0.0,0.0,0.0
2003-01-28,98.92,1.08,0.16,0.0,0.0,0.0
2003-02-04,98.92,1.08,0.45,0.0,0.0,0.0
2003-02-11,98.92,1.08,0.46,0.0,0.0,0.0
2003-02-18,98.92,1.08,0.45,0.0,0.0,0.0
2003-02-25,90.62,9.38,0.45,0.0,0.0,0.0
2003-03-04,90.07,9.93,0.44,0.0,0.0,0.0
2003-03-11,90.2,9.8,0.46,0.0,0.0,0.0
2003-03-18,62.65,37.35,0.43,0.0,0.0,0.0
2003-03-25,62.77,37.23,0.44,0.0,0.0,0.0
2003-04-01,62.74,37.26,0.44,0.0,0.0,0.0
2003-04-08,70.39,29.61,0.72,0.0,0.0,0.0
2003-04-15,77.56,22.44,0.72,0.0,0.0,0.0
2003-04-22,76.42,23.58,0.36,0.0,0.0,0.0
2003-04-29,81.57,18.43,0.38,0.0,0.0,0.0
2003-05-06,81.76,18.24,0.37,0.0,0.0,0.0
2003-05-13,81.69,18.31,0.37,0.0,0.0,0.0
2003-05-20,77.09,22.91,0.37,0.0,0.0,0.0
2003-05-27,75.99,24.01,0.37,0.0,0.0,0.0
2003-06-03,66.28,33.72,0.82,0.38,0.0,0.0
2003-06-10,66.82,33.18,0.82,0.36,0.0,0.0
2003-06-17,58.24,41.76,0.83,0.38,0.0,0.0
2003-06-24,57.93,42.07,0.82,0.38,0.0,0.0
2003-07-01,64.32,35.68,0.82,0.37,0.0,0.0
2003-07-08,76.82,23.18,0.51,0.37,0.0,0.0
2003-07-15,76.47,23.53,0.61,0.4,0.0,0.0
2003-07-22,88.0,12.0,0.61,0.39,0.0,0.0
2003-07-29,96.3,3.7,0.6,0.39,0.0,0.0
2003-08-05,96.58,3.42,0.61,0.4,0.0,0.0
2003-08-12,96.24,3.76,0.6,0.39,0.0,0.0
2003-08-19,96.58,3.42,0.61,0.4,0.0,0.0
2003-08-26,97.08,2.92,0.6,0.39,0.0,0.0
2003-09-02,96.77,3.23,0.61,0.4,0.0,0.0
2003-09-09,96.74,3.26,0.6,0.38,0.0,0.0
2003-09-16,96.41,3.59,0.61,0.39,0.0,0.0
2003-09-23,96.26,3.74,0.61,0.39,0.0,0.0
2003-09-30,96.22,3.78,0.61,0.4,0.0,0.0
2003-10-07,96.16,3.84,0.62,0.4,0.0,0.0
2003-10-14,96.32,3.68,0.61,0.39,0.0,0.0
2003-10-21,92.5,7.5,0.62,0.4,0.0,0.0
2003-10-28,92.55,7.45,0.61,0.4,0.0,0.0
2003-11-04,92.16,7.84,0.61,0.39,0.0,0.0
2003-11-11,85.8,14.2,0.61,0.39,0.0,0.0
2003-11-18,86.24,13.76,0.61,0.4,0.0,0.0
2003-11-25,85.96,14.04,0.65,0.43,0.0,0.0
2003-12-02,86.07,13.93,0.39,0.36,0.0,0.0
