Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,23.81,76.19,41.91,20.35,0.0,0.0
2000-01-11,25.86,74.14,48.86,16.89,0.0,0.0
2000-01-18,25.54,74.46,48.62,16.94,0.0,0.0
2000-01-25,32.96,67.04,47.28,16.8,0.0,0.0
2000-02-01,37.45,62.55,40.57,10.16,0.0,0.0
2000-02-08,37.45,62.55,42.57,10.41,0.0,0.0
2000-02-15,38.12,61.88,42.57,10.41,0.0,0.0
2000-02-22,37.32,62.68,43.42,10.1,0.0,0.0
2000-02-29,22.38,77.62,49.04,20.0,0.0,0.0
2000-03-07,18.47,81.53,54.32,22.4,0.0,0.0
2000-03-14,16.49,83.51,59.22,26.12,0.0,0.0
2000-03-21,16.54,83.46,58.25,27.66,0.0,0.0
2000-03-28,17.44,82.56,55.84,27.45,0.0,0.0
2000-04-04,15.36,84.64,54.99,28.07,0.0,0.0
2000-04-11,25.61,74.39,54.32,26.7,0.0,0.0
2000-04-18,28.36,71.64,57.46,33.87,0.0,0.0
2000-04-25,31.19,68.81,53.93,30.55,0.0,0.0
2000-05-02,31.19,68.81,55.34,33.9,0.0,0.0
2000-05-09,27.98,72.02,58.81,38.06,0.0,0.0
2000-05-16,25.86,74.14,63.08,48.47,12.5,0.0
2000-05-23,19.29,80.71,65.92,48.96,14.43,0.0
2000-05-30,16.69,83.31,73.48,52.46,23.39,0.0
2000-06-06,17.3,82.7,71.97,54.74,25.59,0.1
2000-06-13,15.82,84.18,76.81,63.11,45.04,14.18
2000-06-20,16.26,83.74,77.67,64.86,44.21,15.4
2000-06-27,9.83,90.17,82.37,67.02,46.71,15.62
2000-07-04,11.95,88.05,77.51,63.5,42.38,14.69
2000-07-11,13.22,86.78,80.45,67.64,45.89,19.17
2000-07-18,8.93,91.07,84.03,71.42,53.45,23.86
2000-07-25,14.52,85.48,78.81,68.03,48.65,26.89
2000-08-01,16.86,83.14,76.25,65.53,46.37,24.79
2000-08-08,18.69,81.31,73.22,60.99,41.69,21.61
2000-08-15,20.8,79.2,69.45,58.43,38.59,20.74
2000-08-22,21.8,78.2,67.69,58.29,42.07,23.26
2000-08-29,22.36,77.64,67.44,58.68,43.67,24.09
2000-09-05,23.18,76.82,65.61,56.59,39.67,21.46
2000-09-12,24.94,75.06,65.46,57.94,38.92,14.5
2000-09-19,27.83,72.17,61.13,46.14,34.41,15.56
2000-09-26,32.55,67.45,57.84,37.32,23.16,8.07
2000-10-03,33.4,66.6,57.84,38.74,23.16,8.07
2000-10-10,32.04,67.96,58.49,40.8,22.53,5.21
2000-10-17,21.29,78.71,67.89,47.19,26.99,12.19
2000-10-24,13.78,86.22,68.75,53.13,30.68,13.51
2000-10-31,7.87,92.13,79.03,66.51,50.14,16.56
2000-11-07,6.5,93.5,79.82,66.33,48.59,7.46
2000-11-14,4.21,95.79,79.54,67.89,43.7,6.54
2000-11-21,4.87,95.13,77.77,65.33,19.99,0.0
2000-11-28,9.37,90.63,75.82,60.18,6.37,0.0
2000-12-05,8.81,91.19,76.92,60.05,7.54,1.59
2000-12-12,12.12,87.88,76.44,60.75,9.11,2.91
2000-12-19,14.95,85.05,73.46,51.66,8.11,3.5
2000-12-26,16.54,83.46,71.52,49.91,9.11,4.15
2001-01-02,16.54,83.46,67.67,35.68,8.99,3.86
2001-01-09,16.54,83.46,68.92,35.23,11.39,3.86
2001-01-16,15.21,84.79,68.92,35.23,12.78,3.88
2001-01-23,16.59,83.41,54.58,30.17,10.33,4.03
2001-01-30,7.91,92.09,52.07,30.08,10.33,4.03
2001-02-06,10.03,89.97,57.54,34.38,11.33,3.91
2001-02-13,9.39,90.61,66.77,39.26,17.24,7.15
2001-02-20,8.66,91.34,75.75,43.55,17.41,7.45
2001-02-27,9.15,90.85,75.75,43.68,18.18,8.55
2001-03-06,18.8,81.2,65.25,40.75,17.43,8.26
2001-03-13,17.63,82.37,63.45,32.28,16.85,8.26
2001-03-20,23.93,76.07,61.38,31.24,15.93,7.98
2001-03-27,25.05,74.95,57.84,31.25,15.43,7.5
2001-04-03,26.91,73.09,51.91,24.22,13.31,2.1
2001-04-10,32.4,67.6,50.22,24.22,13.31,2.4
2001-04-17,30.59,69.41,51.29,25.29,14.57,3.12
2001-04-24,30.23,69.77,51.29,26.1,14.57,3.12
2001-05-01,34.81,65.19,50.56,25.67,14.57,3.12
2001-05-08,12.42,87.58,60.69,29.97,18.89,3.12
2001-05-15,12.42,87.58,64.2,38.93,18.96,5.36
2001-05-22,12.11,87.89,64.0,37.63,18.83,5.68
2001-05-29,12.5,87.5,67.08,36.61,18.03,5.65
2001-06-05,28.11,71.89,59.81,35.02,17.14,4.65
2001-06-12,42.85,57.15,46.74,30.54,13.43,1.12
2001-06-19,47.99,52.01,35.39,22.65,12.88,0.0
2001-06-26,47.83,52.17,35.39,22.46,10.13,0.0
2001-07-03,52.82,47.18,30.48,18.02,8.33,0.0
2001-07-10,59.91,40.09,20.36,15.05,7.47,0.0
2001-07-17,57.95,42.05,19.22,12.46,2.48,0.0
2001-07-24,56.92,43.08,17.15,4.59,0.61,0.0
2001-07-31,63.85,36.15,16.23,3.54,0.0,0.0
2001-08-07,75.33,24.67,7.17,1.53,0.0,0.0
2001-08-14,76.15,23.85,7.88,2.1,0.0,0.0
2001-08-21,79.98,20.02,5.55,2.24,0.0,0.0
2001-08-28,73.58,26.42,7.45,2.72,0.0,0.0
2001-09-04,77.67,22.33,6.04,1.26,0.0,0.0
2001-09-11,77.07,22.93,5.22,1.26,0.0,0.0
2001-09-18,71.94,28.06,3.45,1.26,0.0,0.0
2001-09-25,72.9,27.1,1.95,0.0,0.0,0.0
2001-10-02,69.01,30.99,5.81,0.0,0.0,0.0
2001-10-09,63.21,36.79,12.97,0.0,0.0,0.0
2001-10-16,61.7,38.3,14.16,1.25,0.0,0.0
2001-10-23,47.34,52.66,25.41,2.98,0.0,0.0
2001-10-30,36.62,63.38,40.67,11.64,0.0,0.0
2001-11-06,30.95,69.05,45.5,18.36,0.0,0.0
2001-11-13,32.08,67.92,49.21,24.52,0.0,0.0
2001-11-20,32.08,67.92,49.21,39.86,0.0,0.0
2001-11-27,32.47,67.53,49.2,40.45,0.0,0.0
2001-12-04,32.48,67.52,49.2,42.07,10.14,0.0
2001-12-11,34.9,65.1,46.48,37.93,4.16,0.0
2001-12-18,34.12,65.88,46.7,40.67,4.85,0.0
2001-12-25,26.99,73.01,46.7,40.25,6.71,0.0
2002-01-01,27.11,72.89,54.59,45.46,13.78,0.0
2002-01-08,25.8,74.2,55.45,43.77,13.13,0.0
2002-01-15,32.24,67.76,53.85,41.02,12.04,0.0
2002-01-22,33.92,66.08,51.79,38.05,11.23,0.0
2002-01-29,34.37,65.63,51.23,32.45,10.91,0.0
2002-02-05,33.34,66.66,50.93,35.02,13.3,0.0
2002-02-12,40.65,59.35,49.64,34.36,13.01,0.0
