Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,28.91,71.09,43.8,28.62,0.0,0.0
2000-01-11,30.8,69.2,44.59,28.62,0.0,0.0
2000-01-18,0.0,100.0,44.59,28.62,0.0,0.0
2000-01-25,0.0,100.0,44.54,28.62,0.0,0.0
2000-02-01,0.02,99.98,50.78,31.09,0.0,0.0
2000-02-08,0.02,99.98,50.79,31.09,0.0,0.0
2000-02-15,0.02,99.98,53.27,31.09,0.0,0.0
2000-02-22,0.02,99.98,53.97,32.08,0.0,0.0
2000-02-29,18.12,81.88,63.01,42.97,0.0,0.0
2000-03-07,22.3,77.7,56.92,43.15,0.0,0.0
2000-03-14,27.02,72.98,57.13,43.15,0.0,0.0
2000-03-21,30.36,69.64,54.89,39.93,0.0,0.0
2000-03-28,39.74,60.26,42.76,25.28,0.0,0.0
2000-04-04,36.0,64.0,42.34,26.14,0.0,0.0
2000-04-11,37.64,62.36,44.94,25.52,0.0,0.0
2000-04-18,38.54,61.46,43.54,24.05,0.0,0.0
2000-04-25,38.38,61.62,43.21,25.2,2.55,0.0
2000-05-02,38.03,61.97,46.19,20.07,2.68,0.0
2000-05-09,42.34,57.66,39.85,19.2,2.68,0.0
2000-05-16,42.19,57.81,39.97,19.43,3.22,0.0
2000-05-23,49.3,50.7,30.44,16.95,4.1,0.0
2000-05-30,54.99,45.01,28.75,15.52,5.0,0.0
2000-06-06,64.94,35.06,15.42,7.44,3.67,0.0
2000-06-13,66.52,33.48,15.62,7.59,3.82,0.0
2000-06-20,70.83,29.17,15.23,5.79,2.92,0.0
2000-06-27,64.39,35.61,15.54,1.18,0.0,0.0
2000-07-04,68.73,31.27,8.63,0.0,0.0,0.0
2000-07-11,62.43,37.57,8.63,0.61,0.0,0.0
2000-07-18,48.79,51.21,13.56,0.61,0.0,0.0
2000-07-25,51.18,48.82,19.54,3.15,0.0,0.0
2000-08-01,50.07,49.93,26.06,5.23,0.0,0.0
2000-08-08,46.81,53.19,27.64,7.69,0.0,0.0
2000-08-15,40.59,59.41,31.77,11.55,0.0,0.0
2000-08-22,39.53,60.47,36.52,13.79,2.1,0.0
2000-08-29,17.8,82.2,46.33,21.55,4.62,0.0
2000-09-05,1.28,98.72,74.9,44.65,11.42,1.25
